Zonal winds (U) measured by Cassini VIMS 5um images
Latitude is planetocentric and the unit of wind & wind uncertainty is m/s 
Raw data in different years is saved first (panel A of Fig. 10)
Averaged winds in each latitude bin are saved second (panel B of Fig. 10)

Raw data of zonal winds in 2006
latitude  zonal-wind  uncertainty
 25.04     81.597      31.821
 24.75     71.600      31.821
 29.29     68.282      31.821
  9.04    373.288      31.821
  7.76    352.087      31.821
  8.35    368.463      31.821
  5.98    387.933      31.821
  8.94    390.386      31.821
 11.41    330.672      31.821
 22.18    120.374      31.821
 19.12    166.195      31.821
 19.91    143.905      31.821
 20.01    159.775      31.821
 17.34    184.530      31.821
 15.07    225.639      31.821
 13.69    260.605      31.821
 13.49    249.768      31.821
 27.31     74.763      31.821
 29.19     58.593      31.821
 28.40     73.892      31.821
 27.61     69.560      31.821
 29.68     63.117      31.821
 33.14     -4.653      31.821
 32.94      0.000      31.821
 26.82     70.141      31.821
 24.84     76.642      31.821
 23.26     88.137      31.821
 28.37     79.241      30.174
 27.31     84.867      30.174
 27.31     75.438      30.174
 27.57     70.524      30.174
 32.96      0.000      30.174
 24.92     77.272      30.174
 23.15     98.176      30.174
  9.02    385.228      30.174
  8.84    390.809      30.174
  7.96    370.425      30.174
  9.11    379.763      30.174
 20.68    140.320      30.174
 20.06    161.136      30.174
 18.83    182.942      30.174
 15.29    223.557      30.174
 13.97    246.147      30.174
 11.67    323.028      30.174
 27.31     70.999      28.480
 29.29     60.786      28.480
 25.23     81.574      28.480
 22.26    116.403      28.480
 19.79    151.975      28.480
 27.08     71.167      28.480
 22.94     97.204      28.480
  8.48    383.383      28.480
  9.88    371.503      28.480
 13.62    261.709      28.480
 13.83    256.495      28.480
 13.44    276.778      28.480
 17.01    193.690      28.480
 17.30    193.323      28.480
 19.08    171.867      28.480
 32.56      8.346      28.480
 29.26     60.807      28.480
 29.37     56.397      28.480
 29.18     60.863      28.480
 27.25     61.784      26.518
 28.21     65.226      26.518
 27.12     74.244      26.518
 24.60     71.900      26.518
 24.88     71.709      26.518
 22.12    108.108      26.518
 19.05    155.031      26.518
 19.95    140.807      26.518
 13.62    256.510      26.518
  8.31    383.920      26.518
  8.09    374.811      26.518
  9.14    392.212      26.518
  5.93    386.364      26.518
 14.90    218.357      26.518
 15.11    209.009      26.518
 17.66    183.369      26.518
 16.32    207.522      26.518
 20.65    122.535      26.518
 22.52     94.807      26.518
 29.31     56.377      26.518
 29.02     52.519      26.518
 27.96     61.313      26.518
 29.04     60.590      26.518
 29.05     56.542      26.518
 11.34    310.196      26.518
-10.13    349.734      17.278
-10.34    340.417      17.278
 -9.27    359.908      17.278
-11.44    329.884      17.278
-15.12    238.483      17.278
-15.27    247.114      17.278
-11.97    296.208      17.278
-16.28    222.229      17.278
-16.87    224.321      17.278
-15.55    237.891      17.278
-20.12    139.531      17.278
-20.53    139.096      17.278
-22.70    114.321      17.278
-20.10    145.254      17.278
-20.33    136.466      17.278
-22.43    100.610      17.278
-22.33    109.094      17.278
-17.39    209.060      17.278
-13.34    264.841      16.916
-13.70    259.501      16.916
 -9.85    352.775      16.916
 -9.49    360.651      16.916
-11.45    345.623      16.916
 -8.55    374.196      16.916
-15.08    223.865      16.916
-18.06    172.474      16.916
-16.97    209.421      16.916
-19.88    135.255      16.916
-22.13    112.228      16.916
-23.14    106.704      16.916
-20.38    139.375      16.916
-20.38    144.021      16.916
-20.24    137.206      16.916
 -7.60    370.680      17.176
 -9.01    369.050      17.176
 -8.22    376.038      17.176
 -7.90    370.359      17.176
 -8.75    372.389      17.176
 -9.61    338.197      17.176
-10.55    333.993      17.176
-11.95    314.141      17.176
-12.74    283.299      17.176
-14.05    254.877      17.176
-18.48    167.657      17.176
-16.86    201.417      17.176
 -3.24    367.483      66.224
 -6.70    365.120      66.224
 -7.20    390.696      66.224
 -8.68    337.110      66.224
 -9.26    362.336      66.224
 -8.76    337.019      66.224
-15.03    176.450      66.224
 -8.02    389.778      66.224
-11.40    333.667      66.224
-13.38    279.739      66.224
-17.75    148.713      66.224
-20.56     72.856      66.224
-19.73     73.317      66.224
-19.81    122.120      66.224
-16.27    175.164      66.224
 -6.95    364.889      66.224
 -7.58    377.591      55.671
 -7.35    377.837      55.671
 -8.82    395.951      55.671
-10.37    334.684      55.671
 -9.44    375.355      55.671
-12.85    253.178      55.671
-11.92    293.398      55.671
-12.15    312.629      55.671
-11.92    312.958      55.671
-11.84    313.066      55.671
-14.56    231.655      55.671
-14.63    231.556      55.671
-14.48    231.753      55.671
-16.18    210.355      55.671
-16.57    171.696      55.671
-18.27    150.913      55.671
-20.13    111.660      55.671
-19.98    111.792      55.671
-21.53    110.432      55.671
-22.07    109.935      55.671
-14.09    232.237      55.671
-22.77     91.067      55.671
-24.94     35.711      55.671
-25.71     70.886      55.671
-18.35    150.831      55.671

Raw data of zonal winds in 2009
latitude  zonal-wind  uncertainty
 13.06    278.559      24.953
 14.38    247.319      24.953
 14.55    242.908      24.953
 15.79    228.715      24.953
 17.52    197.436      24.953
 19.17    166.715      24.953
 16.12    211.659      24.953
 15.62    216.452      24.953
  8.68    382.416      24.953
  7.02    392.918      24.953
  9.26    385.960      24.953
  8.18    387.320      24.953
  8.76    378.017      24.953
 10.41    333.073      24.953
 10.00    363.539      24.953
 22.81    106.641      24.953
 22.56    106.871      24.953
 20.66    136.703      24.953
  8.00    386.174      21.292
  7.27    396.427      21.292
  8.58    390.174      21.292
 10.41    336.268      21.292
 -8.12    353.076      21.292
 -8.48    371.497      21.292
  8.10    395.525      20.952
  8.68    383.839      20.952
  7.19    396.557      20.952
  9.17    375.902      20.952
 10.58    348.534      20.952
  9.83    356.812      20.952
 13.47    283.086      20.952
 16.69    200.538      20.952
 19.09    166.152      20.952
 20.66    143.669      20.952
 16.69    200.538      20.952
 17.36    189.176      20.952
 -7.19    385.542      20.952
 -7.52    374.185      20.952
  5.87    390.475      20.952
 13.83    268.289      67.283
 14.71    244.768      67.283
  9.52    364.550      67.283
 10.32    408.908      67.283
  7.74    412.492      67.283
  6.91    390.470      67.283
  8.94    342.465      67.283
  9.45    341.861      67.283
 13.90    290.540      67.283
 13.58    223.864      67.283
 17.61    131.165      67.283
 17.09    219.355      67.283
 20.44     64.259      67.283
 17.37    175.166      67.283
 19.38    172.733      67.283
 22.20    105.572      67.283
 16.98    219.514      67.283
 17.08    175.501      67.283
 -7.85    320.728      67.283
 -8.55    365.760      67.283
 -7.58    343.907      67.283
 -7.83    343.657      67.283
 -7.66    366.750      67.283
 13.55    263.786      20.765
 14.46    236.530      20.765
 14.63    228.525      20.765
 16.86    199.886      20.765
 17.44    186.372      20.765
 16.94    192.097      20.765
 16.53    200.304      20.765
 17.44    186.372      20.765
 19.17    161.438      20.765
 20.25    137.624      20.765
 22.56    103.129      20.765
 20.74    132.108      20.765
 21.24    119.171      20.765
 13.06    285.388      20.765
  9.26    367.126      20.765
  9.92    366.253      20.765
  9.26    375.107      20.765
  8.68    389.165      20.765
  7.11    409.724      20.765
  7.77    395.604      20.765
  7.27    401.512      20.765
  5.62    400.431      20.765
 12.89    214.474      74.854
 19.50    123.577      74.854
 11.82    344.877      74.854
  8.93    355.390      33.215
  7.03    431.362      33.215
  8.76    392.370      33.215
 15.20    202.487      33.215
 13.22    252.798      33.215
 11.48    327.653      33.215
 18.82    139.632      33.215
 17.42    176.229      33.215
 20.72    114.713      33.215
  9.63    372.800      18.564
  7.21    392.194      18.564
  7.22    395.506      18.564
  6.12    409.873      18.564
  7.94    391.384      18.564
  7.54    398.456      18.564
 16.06    214.906      18.564
 17.55    190.809      18.564
 19.28    160.467      18.564
 19.55    138.386      18.564
 21.45    121.023      18.564
 22.53     95.654      18.564
 20.29    140.692      18.564
 17.81    187.326      18.564
 16.99    197.834      18.564
 17.67    184.355      18.564
 15.27    231.900      18.564
 14.45    236.192      18.564
 14.68    239.105      18.564
 10.68    345.130      18.564
 11.74    311.027      18.564
 17.04    197.769      18.564
 -8.04    392.914      55.803
-10.82    345.830      55.803
 -7.02    437.831      55.803
 -9.71    347.319      55.803
-13.42    277.676      55.803
-13.05    299.590      55.803
-24.28     98.808      55.803
-27.06     96.126      55.803
-27.53     95.657      55.803
-31.70      0.000      55.803
-21.59    101.168      55.803
-22.52     80.305      55.803
-20.01     61.464      55.803
-18.43    124.351      55.803
-16.02    189.484      55.803
 -8.04    377.500      26.940
-10.55    321.508      26.940
 -8.60    355.614      26.940
-13.52    270.414      26.940
-13.14    250.078      26.940
-13.33    234.232      26.940
-15.84    215.624      26.940
 13.79    268.575      24.041
 10.25    363.891      24.041
  9.42    372.936      24.041
  9.34    373.045      24.041
  8.76    397.635      24.041
  9.92    364.346      24.041
  5.71    400.942      24.041
  6.45    400.264      24.041
  7.53    391.158      24.041
 16.76    198.968      24.041
 17.01    194.833      24.041
 17.18    198.442      24.041
 14.70    224.662      24.041
 14.78    243.917      24.041
 16.43    207.049      24.041
 19.32    165.440      24.041
 13.69    259.802      22.568
 13.73    267.120      22.568
 10.31    353.620      22.568
  9.81    358.030      22.568
  8.83    396.884      22.568
  6.08    403.730      22.568
  9.29    377.482      22.568
  9.25    377.523      22.568
 14.72    229.055      22.568
 14.88    225.189      22.568
 17.04    196.972      22.568
 17.19    196.779      22.568
 17.43    189.274      22.568
 15.92    220.185      22.568
 14.67    240.125      22.568
 16.67    197.455      22.568
 19.42    154.653      22.568
 20.33    142.996      22.568
 20.24    139.567      22.568
 22.40    112.843      22.568
  7.23    391.228      22.568
 19.32    169.015      22.568
 16.68    183.803      65.473
 18.25    181.908      65.473
 13.63    290.951      65.473
 10.00    359.042      65.473
  9.42    402.128      65.473
  8.93    318.011      65.473
  7.61    404.466      65.473
  7.77    404.274      65.473
 20.80    138.826      65.473
 14.21    207.193      65.473
 -8.06    425.187      65.473
 -7.48    362.018      65.473
 -7.65    340.563      65.473
  7.86    402.774      21.124
  7.31    395.262      21.124
  6.21    412.705      21.124
  2.09    448.259      21.124
  7.55    399.069      21.124
 10.60    346.587      21.124
 11.00    341.991      21.124
 15.72    208.240      21.124
 15.23    228.532      21.124
 17.87    182.158      21.124
 17.46    194.318      21.124
 19.44    164.820      21.124
 20.27    140.930      21.124
 14.97    228.879      21.124
 14.07    249.829      21.124
 12.83    291.310      21.124
  9.60    364.079      21.124
 -7.19    401.957      47.305
 -7.19    401.957      47.305
 -6.54    377.467      47.305
 -8.12    375.830      47.305
 -8.12    350.775      47.305
-11.93    321.076      47.305
-12.30    320.532      47.305
 -8.96    299.859      47.305
 -9.70    348.926      47.305
-14.91    194.636      47.305
-16.02    169.200      47.305
-15.46    169.762      47.305
-15.09    243.038      47.305
-16.12    169.105      47.305
-20.67     93.609      47.305
-18.16    143.037      47.305
 -6.73    377.292      47.305
 -5.98    403.159      47.305
 -7.00    351.887      47.305
 -7.56    426.641      47.305
-30.25     21.303      47.305
-33.60    -20.426      47.305
-27.74     65.745      47.305
-22.53     69.139      47.305
-27.18     44.090      47.305
  7.44    385.078      24.633
  8.10    365.121      24.633
 10.00    353.229      24.633
 12.72    297.245      24.633
 15.11    218.989      24.633
 18.91    145.502      24.633
-11.65    253.283      45.744
-11.19    324.286      45.744
 -6.73    372.127      45.744
 -7.56    399.855      45.744
 -7.47    399.960      45.744
 -8.68    370.034      45.744
-16.02    220.067      45.744
-20.95     93.009      45.744
-18.90    121.451      45.744
-21.88     65.933      45.744
-30.25     12.122      45.744
-31.27     11.974      45.744
-27.74     62.351      45.744
-14.91    238.923      49.273
-11.93    272.862      49.273
-11.56    364.415      49.273
-20.95     71.659      49.273
-27.92     40.271      49.273
-29.23     39.694      49.273
-30.06     52.415      49.273
-15.84    237.637      49.273
-28.57     53.313      49.273
-15.19    243.773      47.831
-27.37    110.401      47.831
-24.58     48.655      47.831
-24.20     48.824      47.831
  8.49    380.638      64.068
 10.32    378.193      64.068
  6.92    382.365      64.068
 13.15    266.778      64.068
 17.62    129.967      64.068
 16.88    156.717      64.068
 12.73    294.059      64.068
 15.80    184.065      64.068
 14.63    211.778      64.068
 13.96    212.538      64.068
 10.18    351.369      64.068

Raw data of zonal winds in 2011
latitude  zonal-wind  uncertainty
  7.90    387.020      15.551
  6.96    395.746      15.551
  8.48    388.889      15.551
  7.46    392.637      15.551
  7.83    394.793      15.551
  7.61    402.737      15.551
  9.42    372.358      15.551
  8.41    391.538      15.551
  7.76    396.467      14.107
  6.96    397.336      14.107
  7.87    393.977      14.107
  7.66    394.212      14.107
  7.82    391.681      14.107
  9.41    370.943      14.107
  9.18    378.264      14.107
  7.24    396.908      12.876
  9.48    376.842      12.876
  7.82    394.081      12.876
  8.62    386.624      12.876
  7.17    396.577      14.023
  8.69    385.427      14.023
  8.69    385.417      14.023
  7.96    395.678      14.023
  9.34    377.563      14.023
  8.11    390.822      14.023
  7.24    391.800      14.023
  6.66    397.103      14.023
  7.24    394.152      14.023
  6.88    397.096      12.822
  7.17    396.794      12.822
  8.25    399.898      12.822
  8.69    390.665      12.822
  8.83    383.971      12.822
 10.93    329.334      12.822
  5.80    391.559      12.822
 -7.89    393.929      42.916
 -7.73    408.452      42.916
 -7.81    365.339      42.916
 -7.81    408.324      42.916
 -5.66    396.140      42.916
 -7.23    409.020      42.916
 -8.64    407.284      42.916
 -5.58    381.830      42.916
 -4.50    353.700      42.916
 -4.34    368.238      42.916
  7.42    396.339      12.736
  7.22    399.164      12.736
  9.10    381.310      12.736
  7.09    404.523      12.736
  9.98    377.519      12.736
 10.62    355.957      12.736
  7.17    393.570      15.044
  8.12    389.955      15.044
  7.90    392.775      15.044
  7.17    391.005      15.044
