Zonal winds (U) derived from VIMS, ISS(CB), and CIRS observations
Latitude is planetocentric and wind & wind uncertainty is m/s 

VIMS measurements of zonal winds in 2015 
latitude  zonal-wind  uncertainty
 -5.00    392.688      15.790
 -4.50    405.341      16.735
 -4.00    417.995      17.679
 -3.50    430.641      17.665
 -3.00    443.287      17.650
 -2.50    436.000      17.608
 -2.00    428.712      17.566
 -1.50    421.333      17.522
 -1.00    413.591      12.320
 -0.50    415.388      12.729
  0.00    419.401      23.085
  0.50    416.329      21.610
  1.00    413.374      18.859
  1.50    411.782      21.564
  2.00    409.926      19.910
  2.50    407.293      20.176
  3.00    407.038      18.624
  3.50    409.148      20.919
  4.00    410.544      18.752
  4.50    410.231      19.480
  5.00    410.065      18.508
  5.50    408.345      21.868
  6.00    407.007      21.356
  6.50    407.209      21.784
  7.00    410.514      21.240
  7.50    409.542      22.001
  8.00    402.096      19.431
  8.50    395.691      17.774
  9.00    387.366      17.452
  9.50    381.437      18.048
 10.00    365.387      18.483
 10.50    351.820      19.148
 11.00    330.679      20.757
 11.50    317.693      19.064
 12.00    305.883      16.787
 12.50    298.276      17.715
 13.00    281.680      21.887
 13.50    268.398      24.116
 14.00    247.374      22.403
 14.50    236.271      18.944
 15.00    220.727      15.477
 15.50    209.557      15.117
 16.00    200.153      15.256
 16.50    196.486      14.916
 17.00    188.444      16.016
 17.50    180.427      16.723
 18.00    168.801      16.343
 18.50    163.325      16.621
 19.00    153.955      18.405
 19.50    146.476      20.170
 20.00    129.380      19.514
 20.50    117.840      18.297
 21.00    109.879      17.930
 21.50    104.257      17.654
 22.00     94.882      19.023
 22.50     90.942      19.617
 23.00     86.499      18.329
 23.50     83.197      16.717
 24.00     78.804      15.315
 24.50     77.196      14.214
 25.00     74.723      13.675
 25.50     73.756      14.492
 26.00     73.008      14.487
 26.50     70.012      14.529
 27.00     62.397      14.441
 27.50     57.330      14.746
 28.00     51.345      15.893
 28.50     49.248      16.400
 29.00     44.332      17.685
 29.50     34.918      17.463
 30.00     12.885      14.204
 30.50      4.849      12.675
 31.00      3.560      12.956
 31.50      2.254      13.539
 32.00      1.011      13.567
 32.50      0.776      13.344
 33.00      0.543      12.940
 33.50     -0.464      14.062
 34.00     -3.023      17.649
 34.50     -2.491      17.612
 35.00      3.830      18.653
 35.50      8.449      21.302
 36.00     13.673      19.248
 36.50     23.027      22.250
 37.00     40.855      23.815
 37.50     46.254      27.545
 38.00     51.695      27.827
 38.50     61.784      18.990
 39.00     81.521      31.358
 39.50     91.641      28.034
 40.00    107.011      24.724

ISS (CB) measurements of zonal winds in 2014
latitude  zonal-wind  uncertainty
 -5.00    376.803       2.885
 -4.80    377.957       3.175
 -4.60    375.902       3.838
 -4.40    369.453       4.446
 -4.20    365.704       4.152
 -4.00    366.786       3.893
 -3.80    365.795       3.091
 -3.60    368.659       2.120
 -3.40    370.080       2.995
 -3.20    367.893       3.523
 -3.00    368.520       3.113
 -2.80    373.367       3.987
 -2.60    367.172       3.789
 -2.40    367.350       4.284
 -2.20    365.905       4.208
 -2.00    372.800       4.364
 -1.80    374.165       4.785
 -1.60    376.770       6.092
 -1.40    376.885       6.435
 -1.20    374.942       6.049
 -1.00    379.130       6.145
 -0.80    386.878       6.632
 -0.60    393.938       6.906
 -0.40    396.192       5.144
 -0.20    395.449       4.472
  0.00    398.856       4.413
  0.20    402.327       4.722
  0.40    396.637       5.290
  0.60    393.858       4.663
  0.80    391.625       4.495
  1.00    388.008       5.254
  1.20    383.401       4.432
  1.40    377.523       4.016
  1.60    371.809       2.115
  1.80    370.495       2.005
  2.00    376.010       2.710
  2.20    372.699       1.931
  2.40    373.205       1.876
  2.60    370.999       2.866
  2.80    371.064       1.837
  3.00    370.555       2.179
  3.20    371.004       1.314
  3.40    367.742       1.729
  3.60    369.295       1.700
  3.80    369.513       1.928
  4.00    373.747       1.989
  4.20    377.435       1.804
  4.40    378.791       1.386
  4.60    381.310       1.300
  4.80    383.230       1.187
  5.00    387.235       1.394
  5.20    388.235       1.256
  5.40    390.698       1.209
  5.60    393.036       0.807
  5.80    395.490       1.110
  6.00    397.685       0.776
  6.20    398.351       0.751
  6.40    399.783       0.688
  6.60    398.538       0.835
  6.80    399.489       0.674
  7.00    399.962       0.565
  7.20    399.498       0.589
  7.40    399.050       0.535
  7.60    399.685       0.575
  7.80    398.791       0.516
  8.00    397.639       0.527
  8.20    395.585       0.558
  8.40    393.177       0.627
  8.60    388.869       0.638
  8.80    386.653       0.746
  9.00    382.486       0.677
  9.20    378.720       0.623
  9.40    372.704       0.688
  9.60    368.211       0.702
  9.80    363.284       0.831
 10.00    357.740       0.780
 10.20    352.740       0.870
 10.40    346.872       1.048
 10.60    341.706       0.814
 10.80    335.445       0.742
 11.00    330.484       0.778
 11.20    323.709       0.878
 11.40    318.295       0.902
 11.60    313.750       0.663
 11.80    310.292       0.693
 12.00    308.443       0.815
 12.20    304.537       0.835
 12.40    299.482       0.998
 12.60    293.150       1.017
 12.80    284.440       1.573
 13.00    277.511       1.132
 13.20    270.394       1.094
 13.40    263.226       0.822
 13.60    257.770       0.590
 13.80    251.738       0.818
 14.00    246.865       0.953
 14.20    240.675       0.735
 14.40    233.819       0.986
