Cassini CIRS temperature and derived zonal winds  
Latitude is planetocentric, pressure unit is mbar, and wind & uncertainty unit is m/s
Data in each pressure level with varying latitude is saved 

Pressure level 508.1449 mbar
pressure latitude  temperature  wind   wind-uncertainty
  508.14  -90.00    109.061     6.700     0.882
  508.14  -89.00    108.642   102.100     0.751
  508.14  -88.00    108.414   146.400     0.226
  508.14  -87.00    108.370   142.600     0.595
  508.14  -86.00    108.150   130.200     1.449
  508.14  -85.00    107.625   114.400     1.381
  508.14  -84.00    107.331    87.200     0.473
  508.14  -83.00    107.166    56.200     0.971
  508.14  -82.00    107.144    40.000     0.561
  508.14  -81.00    107.158    27.100     1.324
  508.14  -80.00    107.026    16.100     0.556
  508.14  -79.00    107.048     6.500     0.538
  508.14  -78.00    107.142     2.700     1.280
  508.14  -77.00    107.433    -0.400     1.195
  508.14  -76.00    107.573     0.300     1.329
  508.14  -75.00    107.677     2.300     0.583
  508.14  -74.00    107.922     8.700     0.721
  508.14  -73.00    107.928    19.900     1.017
  508.14  -72.00    107.865    41.600     1.358
  508.14  -71.00    107.779    83.800     0.990
  508.14  -70.00    107.736    86.300     0.401
  508.14  -69.00    107.792    43.700     0.424
  508.14  -68.00    107.900    18.200     0.694
  508.14  -67.00    108.012     0.500     0.300
  508.14  -66.00    108.100    -8.500     0.393
  508.14  -65.00    108.131   -13.200     0.376
  508.14  -64.00    108.079   -14.800     1.042
  508.14  -63.00    107.905   -12.600     0.829
  508.14  -62.00    107.836    -8.000     0.469
  508.14  -61.00    107.836    -2.200     0.889
  508.14  -60.00    107.876     6.100     1.330
  508.14  -59.00    107.944    13.700     2.328
  508.14  -58.00    108.009    24.600     2.475
  508.14  -57.00    108.057    83.300     1.962
  508.14  -56.00    108.092   140.400     1.300
  508.14  -55.00    108.085   135.533     0.608
  508.14  -54.00    108.138   113.000     1.146
  508.14  -53.00    108.177    93.000     1.381
  508.14  -52.00    108.272    71.900     1.203
  508.14  -51.00    108.324    51.100     1.385
  508.14  -50.00    108.442    32.300     1.522
  508.14  -49.00    108.651    22.400     0.926
  508.14  -48.00    108.836    21.300     1.543
  508.14  -47.00    108.951    30.600     1.056
  508.14  -46.00    109.034    47.200     1.854
  508.14  -45.00    109.079    71.400     1.084
  508.14  -44.00    109.058   101.867     1.555
  508.14  -43.00    108.981   127.000     1.317
  508.14  -42.00    108.862   130.300     1.429
  508.14  -41.00    108.746    90.000     0.887
  508.14  -40.00    108.725    51.367     0.719
  508.14  -39.00    108.816    22.700     0.918
  508.14  -38.00    108.913     7.800     1.970
  508.14  -37.00    108.939    -1.800     1.410
  508.14  -36.00    108.915    -6.400     0.931
  508.14  -35.00    108.852   -11.400     0.654
  508.14  -34.00    108.783   -12.300     0.921
  508.14  -33.00    108.703    -1.100     2.012
  508.14  -32.00    108.708    18.200     1.233
  508.14  -31.00    108.787    43.300     0.911
  508.14  -30.00    108.800    53.000     2.608
  508.14  -29.00    108.746    63.100     2.619
  508.14  -28.00    108.639    82.600     1.963
  508.14  -27.00    108.531    80.300     1.045
  508.14  -26.00    108.441    63.800     1.073
  508.14  -25.00    108.304    61.200     2.002
  508.14  -24.00    108.261    74.400     2.187
  508.14  -23.00    108.253    95.700     0.675
  508.14  -22.00    108.277   109.867     0.800
  508.14  -21.00    108.331   125.200     1.171
  508.14  -20.00    108.366   135.500     1.825
  508.14  -19.00    108.359   157.200     1.826
  508.14  -18.00    108.359   174.600     4.463
  508.14  -17.00    108.464   201.800     2.815
  508.14  -16.00    108.624   221.400     3.113
  508.14  -15.00    108.709   237.200     3.898
  508.14  -14.00    108.761   251.700     4.573
  508.14  -13.00    108.826   273.300     3.815
  508.14  -12.00    108.851   303.400     7.318
  508.14  -11.00    108.794   332.900     5.898
  508.14  -10.00    108.675   348.633     7.438
  508.14   -9.00    108.400   362.900     5.929
  508.14   -8.00    108.097   367.467    11.166
  508.14   -7.00    107.849   368.733     5.329
  508.14   -6.00    107.651   365.200     4.846
  508.14   -5.00    107.486   357.300     6.566
  508.14   -4.00    107.340   349.400     7.893
  508.14   -3.00    107.151   344.400     7.624
  508.14   -2.00    106.917   349.767     8.561
  508.14   -1.00    106.695   359.000    10.333
  508.14    0.00    106.527   387.667    12.643
  508.14    1.00    106.477   368.100    14.954
  508.14    2.00    106.542   353.550    14.062
  508.14    3.00    106.701   354.800    13.556
  508.14    4.00    106.892   361.600    13.371
  508.14    5.00    107.087   366.300    16.871
  508.14    6.00    107.272   377.800    13.955
  508.14    7.00    107.440   385.200     6.852
  508.14    8.00    107.577   381.500    10.215
  508.14    9.00    107.687   365.350     6.292
  508.14   10.00    107.751   354.567     3.433
  508.14   11.00    107.794   328.300     5.146
  508.14   12.00    107.646   306.300     4.872
  508.14   13.00    107.454   294.867     4.339
  508.14   14.00    107.267   257.100     1.939
  508.14   15.00    107.112   233.200     3.237
  508.14   16.00    106.968   212.850     1.900
  508.14   17.00    106.899   197.400     4.524
  508.14   18.00    106.818   182.950     1.705
  508.14   19.00    106.723   167.150     1.814
  508.14   20.00    106.664   150.500     3.790
  508.14   21.00    106.584   129.450     5.381
  508.14   22.00    106.457   112.300     2.634
  508.14   23.00    106.316    96.750     2.247
  508.14   24.00    106.190    86.800     1.440
  508.14   25.00    106.223    75.600     1.815
  508.14   26.00    106.316    73.200     1.778
  508.14   27.00    106.359    73.700     2.288
  508.14   28.00    106.383    61.000     1.859
  508.14   29.00    106.356    58.850     0.641
  508.14   30.00    106.314    53.850     1.867
  508.14   31.00    106.239    30.150     2.481
  508.14   32.00    106.112     5.500     1.143
  508.14   33.00    106.012   -15.750     1.670
  508.14   34.00    105.967   -21.300     0.827
  508.14   35.00    105.939   -17.200     1.547
  508.14   36.00    105.951    -8.800     1.414
  508.14   37.00    106.006     2.750     0.635
  508.14   38.00    106.106    24.150     1.516
  508.14   39.00    106.272    55.500     1.966
  508.14   40.00    106.543    89.050     1.419
  508.14   41.00    106.905   128.200     1.651
  508.14   42.00    107.221   139.800     1.442
  508.14   43.00    107.459   121.650     1.554
  508.14   44.00    107.687    68.167     0.947
  508.14   45.00    107.926    46.450     0.861
  508.14   46.00    108.145    24.800     0.742
  508.14   47.00    108.296    14.700     0.969
  508.14   48.00    108.389     5.000     0.630
  508.14   49.00    108.424    -1.300     2.384
  508.14   50.00    108.396    -2.550     1.582
  508.14   51.00    108.357     2.350     0.457
  508.14   52.00    108.333    12.700     0.215
  508.14   53.00    108.384    28.967     0.508
  508.14   54.00    108.398    48.400     0.768
  508.14   55.00    108.386    71.800     0.779
  508.14   56.00    108.435    90.700     0.439
  508.14   57.00    108.581    85.750     0.626
  508.14   58.00    108.733    70.550     0.321
  508.14   59.00    108.838    62.750     0.836
  508.14   60.00    108.949    66.600     0.908
  508.14   61.00    109.113    84.450     1.780
  508.14   62.00    109.234    95.450     0.751
  508.14   63.00    109.198    62.700     1.034
  508.14   64.00    109.074    30.600     0.941
  508.14   65.00    108.950    17.600     0.324
  508.14   66.00    108.639     2.600     1.160
  508.14   67.00    108.634    -5.200     1.299
  508.14   68.00    108.713    -9.200     1.435
  508.14   69.00    108.770   -11.600     1.109
  508.14   70.00    108.710   -11.200     1.270
  508.14   71.00    108.621    -8.500     1.546
  508.14   72.00    108.487    -1.200     2.250
  508.14   73.00    108.347    10.900     1.021
  508.14   74.00    108.206    31.633     0.594
  508.14   75.00    108.074    74.200     0.604
  508.14   76.00    107.986    79.500     0.358
  508.14   77.00    107.888    35.267     0.691
  508.14   78.00    107.681    12.900     0.630
  508.14   79.00    107.652     9.600     0.435
  508.14   80.00    107.719    10.400     0.497
  508.14   81.00    107.841    21.467     0.835
  508.14   82.00    107.941    33.000     0.845
  508.14   83.00    107.967    42.233     0.468
  508.14   84.00    107.985    66.050     1.031
  508.14   85.00    107.998    96.805     0.631
  508.14   86.00    107.923    89.306     0.484
  508.14   87.00    108.003    46.668     0.750
  508.14   88.00    107.977    16.986     0.688
  508.14   89.00    107.846     8.493     0.893
  508.14   90.00    107.696     0.000     0.751

Pressure level 443.7832 mbar
pressure latitude  temperature  wind   wind-uncertainty
  443.78  -90.00    104.718    -6.700     0.882
  443.78  -89.00    104.419   101.854     0.751
  443.78  -88.00    104.269   146.269     0.226
  443.78  -87.00    104.221   142.567     0.595
  443.78  -86.00    104.025   129.825     1.449
  443.78  -85.00    103.560   113.819     1.381
  443.78  -84.00    103.293    86.685     0.473
  443.78  -83.00    103.142    56.001     0.971
  443.78  -82.00    103.122    40.002     0.561
  443.78  -81.00    103.137    27.082     1.324
  443.78  -80.00    103.034    16.102     0.556
  443.78  -79.00    103.041     6.597     0.538
  443.78  -78.00    103.093     2.887     1.280
  443.78  -77.00    103.308    -0.209     1.195
  443.78  -76.00    103.416     0.512     1.329
  443.78  -75.00    103.548     2.568     0.583
  443.78  -74.00    103.757     8.875     0.721
  443.78  -73.00    103.799    19.941     1.017
  443.78  -72.00    103.739    41.554     1.358
  443.78  -71.00    103.656    83.674     0.990
  443.78  -70.00    103.642    86.177     0.401
  443.78  -69.00    103.693    43.674     0.424
  443.78  -68.00    103.781    18.206     0.694
  443.78  -67.00    103.870     0.582     0.300
  443.78  -66.00    103.935    -8.451     0.393
  443.78  -65.00    103.956   -13.434     0.376
  443.78  -64.00    103.923   -15.355     1.042
  443.78  -63.00    103.813   -13.018     0.829
  443.78  -62.00    103.823    -8.105     0.469
  443.78  -61.00    103.925    -2.188     0.889
  443.78  -60.00    104.039     6.191     1.330
  443.78  -59.00    104.131    13.852     2.328
  443.78  -58.00    104.190    24.878     2.475
  443.78  -57.00    104.206    83.560     1.962
  443.78  -56.00    104.172   140.444     1.300
  443.78  -55.00    104.093   135.448     0.608
  443.78  -54.00    104.114   113.250     1.146
  443.78  -53.00    104.194    93.621     1.381
  443.78  -52.00    104.385    72.219     1.203
  443.78  -51.00    104.496    51.226     1.385
  443.78  -50.00    104.634    32.688     1.522
  443.78  -49.00    104.868    22.744     0.926
  443.78  -48.00    105.059    21.381     1.543
  443.78  -47.00    105.187    30.558     1.056
  443.78  -46.00    105.305    47.217     1.854
