Cassini ISS (MT 2/3) and CIRS derived zonal winds (U) at 60 mbar 
Latitude is planetocentric and wind & wind uncertainty unit is m/s
NaN represents observational gap (no value)

latitude   U(MT2/3)  uncertainty   U(CIRS)   uncertainty  
-90.00       NaN          NaN      -6.840       8.972
-89.00       NaN          NaN      93.438       8.618
-88.00       NaN          NaN     142.034       7.229
-87.00       NaN          NaN     141.646       7.680
-86.00       NaN          NaN     126.009       7.533
-85.00       NaN          NaN     108.367       7.219
-84.00       NaN          NaN      82.060       6.027
-83.00       NaN          NaN      53.474       7.773
-82.00       NaN          NaN      38.210       5.920
-81.00       NaN          NaN      25.966       7.731
-80.00       NaN          NaN      15.670       8.370
-79.00       NaN          NaN       6.438       7.492
-78.00     5.500        5.200       3.046       8.651
-77.00     2.500        3.000       1.383       7.771
-76.00     3.800        3.200       4.856       6.701
-75.00     4.500        4.200       5.713       9.717
-74.00     8.600        4.100      10.144       7.002
-73.00    15.500        6.400      19.215       7.218
-72.00    46.200       10.600      40.753       6.951
-71.00    73.400        6.300      83.349       6.337
-70.00    78.400        6.000      85.365       7.575
-69.00    61.500       13.800      42.513       7.359
-68.00    24.100        9.200      17.328       6.438
-67.00     5.000        6.800       0.314       7.136
-66.00    -6.100        5.300      -8.950       5.282
-65.00   -10.900        5.200     -15.401       7.607
-64.00   -13.300        5.000     -18.423       7.421
-63.00   -11.600        5.700     -14.367       7.606
-62.00    -8.100        5.000      -7.325       9.132
-61.00    -1.533        6.067      -1.374       7.653
-60.00     4.633        7.900       6.658       7.201
-59.00    17.367       10.133      14.531       8.315
-58.00    35.333       15.233      27.454       9.782
-57.00    86.000       10.100      86.297       8.408
-56.00   123.200        5.300     140.759       7.494
-55.00   129.600        6.300     134.457       8.682
-54.00   117.100        6.300     113.288       9.396
-53.00    94.500       13.800      95.707       8.359
-52.00    72.700       15.067      73.675       6.557
-51.00    46.800       15.100      51.988       7.516
-50.00    32.500        5.700      36.495       9.411
-49.00    26.500        2.900      29.355       8.497
-48.00    26.000        2.400      26.789      10.682
-47.00    32.700        5.900      32.797       8.672
-46.00    50.300        6.400      47.144       8.316
-45.00    82.700        7.000      69.215       7.850
-44.00   105.400        7.967      98.117       6.438
-43.00   120.700        3.200     122.448      10.493
-42.00   117.133        5.433     122.707       7.689
-41.00    86.500       14.700      83.109       6.031
-40.00    55.400       12.900      48.834       6.233
-39.00    26.200       11.600      25.013       7.919
-38.00     9.600       10.400      10.722       5.944
-37.00    -1.100        6.200       0.753       7.779
-36.00    -4.900        5.700      -2.631       9.648
-35.00    -9.600        5.700      -6.229       8.716
-34.00    -5.700        6.100      -7.218       8.790
-33.00     4.300        5.800       3.923       8.300
-32.00    18.600       12.000      24.563       8.474
-31.00    39.200       14.200      45.671       7.811
-30.00    55.600        7.200      51.360       7.040
-29.00    64.000        6.000      61.446       5.242
-28.00    68.800        7.000      80.108       6.212
-27.00    69.533        6.600      78.309       8.502
-26.00    67.800        5.300      64.911       6.586
-25.00    68.200        7.500      66.128       6.459
-24.00    81.500       10.300      82.619       8.343
-23.00    98.600       12.200     107.068       9.069
-22.00   114.700        7.900     126.170       9.546
-21.00   133.900       12.000     141.640       9.869
-20.00   150.250        9.250     154.305      14.257
-19.00   167.600       15.767     174.887       8.531
-18.00   193.500       16.500     199.237       9.168
-17.00   218.850       11.350     229.073      13.041
-16.00   244.400        9.933     238.294      12.220
-15.00   260.800        4.800     239.701      10.960
-14.00   263.050        4.100     243.888      12.606
-13.00   267.100        4.500     252.491      11.266
-12.00   272.100        4.200     260.538      14.968
-11.00   277.433        5.500     263.275      19.598
-10.00   282.200        6.500     264.266      20.490
 -9.00   278.050        5.750     270.120      13.887
 -8.00   276.833        8.100     270.507      22.608
 -7.00   272.400        9.200     263.269      20.185
 -6.00   267.200        6.250     257.658      19.606
 -5.00   263.900        4.600     252.869      37.552
 -4.00   262.100        5.350     244.129      58.703
 -3.00   257.033       11.900     241.228      59.922
 -2.00   301.450       57.850     348.359      61.079
 -1.00   407.600       38.000     379.353      65.505
  0.00   389.600       49.800     389.989      62.666
  1.00   394.250       22.800     377.349      59.827
  2.00   247.600       11.400     347.176      58.174
  3.00   260.200       11.200     248.498      55.149
  4.00   269.900        8.150     260.595      52.445
  5.00   274.933        6.100     288.064      47.448
  6.00   290.500       13.800     303.966      41.158
  7.00   290.500       10.200     320.934      28.231
  8.00   310.200       22.000     328.820      21.625
  9.00   333.200       17.000     331.231      21.852
 10.00   342.750        9.350     338.878      22.393
 11.00   350.700        7.400     337.850      19.498
 12.00   342.100        6.850     327.309      14.168
 13.00   319.200       11.850     318.534      15.103
 14.00   289.300       11.500     293.233      15.385
 15.00   263.250       13.800     271.246      10.054
 16.00   236.900        9.150     254.698      14.601
 17.00   210.900       11.300     234.291      16.764
 18.00   192.500        7.000     210.138      11.127
 19.00   179.050        7.650     188.260       9.861
 20.00   157.700        6.900     168.545       9.762
 21.00   141.200        7.950     146.719      11.974
 22.00   124.600        8.150     130.040       8.114
 23.00   107.767        6.533     115.233       9.350
 24.00    93.300        5.900     101.633      10.461
 25.00    81.350        5.050      85.977       9.694
 26.00    76.200        4.800      78.520       9.253
 27.00    73.050        4.950      76.980       7.131
 28.00    66.150        5.850      66.015       7.652
 29.00    61.050        4.450      63.659       6.792
 30.00    55.600        2.500      61.267       6.787
 31.00    40.600        6.050      42.000       7.329
 32.00    11.800        5.700      22.733       7.280
 33.00    -8.750        8.500       6.092       8.797
 34.00   -16.600        4.900      -2.613       7.308
 35.00   -15.000        4.900      -4.497       5.598
 36.00    -8.650        5.800      -0.730       5.401
 37.00     6.000        8.900       7.974       8.005
 38.00    23.950       10.300      24.214       9.467
 39.00    48.800       19.800      47.737       7.786
 40.00    93.533       12.867      75.203       5.156
 41.00   123.700        9.700     112.386       5.960
 42.00   136.100       10.000     128.787       6.545
 43.00   122.100        8.567     117.333       6.622
 44.00    69.100       17.400      70.327       5.340
 45.00    49.433        8.200      48.860       8.978
 46.00    21.100        4.800      28.591       5.803
 47.00    15.400        3.550      19.442       6.634
 48.00     6.267        4.467      11.194       6.899
 49.00     0.550        4.100       4.518       8.929
 50.00    -0.300        4.250       1.034       8.107
 51.00     5.500        4.500       4.062       5.532
 52.00    14.000        6.800      13.080       5.074
 53.00    28.650        7.500      27.489       6.337
 54.00    51.200        6.550      45.667       5.532
 55.00    70.600        7.600      67.110       4.808
 56.00    84.200        7.350      84.238       6.407
 57.00    84.200        5.167      80.880       6.482
 58.00    72.750        4.700      67.256       4.819
 59.00    66.200        3.800      58.859       6.021
 60.00    68.300        7.950      62.653       5.837
 61.00    82.833        5.833      82.443       6.647
 62.00    84.000        9.400      95.294       5.262
 63.00    67.367       18.467      64.068       5.792
 64.00    36.600        3.500      33.811       6.795
 65.00    19.800        3.833      21.177       4.995
 66.00     2.350        8.850       6.695       5.834
 67.00    -8.800        5.000      -1.241       6.338
 68.00    -7.450        2.600      -6.182       7.331
 69.00   -11.800        2.200     -10.622       8.539
 70.00   -12.000        5.800     -10.743       6.226
 71.00    -8.950        0.000      -7.055       7.414
 72.00       NaN          NaN       0.617       6.731
 73.00       NaN          NaN      12.502       7.358
 74.00       NaN          NaN      31.761       8.099
 75.00       NaN          NaN      72.434       8.078
 76.00       NaN          NaN      78.579       7.410
 77.00       NaN          NaN      36.262       9.046
