Brunt-Väisälä frequency (N), vertical shear of zonal wind (dUdz), and Richardson number (Ri) 
Latitude is planetocentric and pressure unit is mbar
N unit is 1e-3 1/s, dUdz unit is 1e-3 1/s, and Ri is unitless 
Data in each pressure level with varying latitude is saved 

Pressure level 508.1449 mbar
pressure latitude       N       dUdz       Ri
  508.14  -90.00      5.602    -0.073   225.857
  508.14  -89.00      5.650    -0.073   229.763
  508.14  -88.00      5.683    -0.039   232.476
  508.14  -87.00      5.683    -0.151   232.408
  508.14  -86.00      5.699    -0.065   233.763
  508.14  -85.00      5.713    -0.089   234.903
  508.14  -84.00      5.724    -0.066   235.804
  508.14  -83.00      5.730    -0.050   236.310
  508.14  -82.00      5.744    -0.029   237.443
  508.14  -81.00      5.736    -0.015   236.777
  508.14  -80.00      5.707    -0.001   234.399
  508.14  -79.00      5.651     0.012   229.790
  508.14  -78.00      5.574     0.026   223.636
  508.14  -77.00      5.499     0.036   217.661
  508.14  -76.00      5.451     0.042   213.831
  508.14  -75.00      5.441     0.043   213.095
  508.14  -74.00      5.446     0.033   213.457
  508.14  -73.00      5.461     0.013   214.616
  508.14  -72.00      5.491     0.002   217.036
  508.14  -71.00      5.497    -0.001   217.470
  508.14  -70.00      5.503     0.004   217.958
  508.14  -69.00      5.485     0.012   216.519
  508.14  -68.00      5.448     0.013   213.597
  508.14  -67.00      5.414     0.002   210.992
  508.14  -66.00      5.396    -0.016   209.534
  508.14  -65.00      5.410    -0.036   210.626
  508.14  -64.00      5.468    -0.047   215.174
  508.14  -63.00      5.569    -0.036   223.171
  508.14  -62.00      5.690    -0.012   232.986
  508.14  -61.00      5.802     0.007   242.239
  508.14  -60.00      5.886     0.021   249.310
  508.14  -59.00      5.914     0.030   251.702
  508.14  -58.00      5.891     0.030   249.767
  508.14  -57.00      5.825     0.026   244.183
  508.14  -56.00      5.734     0.024   236.627
  508.14  -55.00      5.654     0.032   230.042
  508.14  -54.00      5.616     0.053   227.011
  508.14  -53.00      5.631     0.074   228.176
  508.14  -52.00      5.682     0.075   232.344
  508.14  -51.00      5.730     0.067   236.304
  508.14  -50.00      5.762     0.069   238.966
  508.14  -49.00      5.787     0.058   241.024
  508.14  -48.00      5.809     0.033   242.831
  508.14  -47.00      5.827     0.013   244.371
  508.14  -46.00      5.840     0.001   245.429
  508.14  -45.00      5.829    -0.011   244.519
  508.14  -44.00      5.781    -0.020   240.547
  508.14  -43.00      5.699    -0.020   233.785
  508.14  -42.00      5.618    -0.013   227.179
  508.14  -41.00      5.567    -0.002   223.009
  508.14  -40.00      5.543     0.013   221.159
  508.14  -39.00      5.539     0.014   220.791
  508.14  -38.00      5.549     0.001   221.594
  508.14  -37.00      5.570    -0.016   223.299
  508.14  -36.00      5.595    -0.019   225.281
  508.14  -35.00      5.619    -0.006   227.215
  508.14  -34.00      5.640     0.014   228.960
  508.14  -33.00      5.665     0.028   230.953
  508.14  -32.00      5.690     0.035   233.043
  508.14  -31.00      5.709     0.024   234.536
  508.14  -30.00      5.710    -0.004   234.643
  508.14  -29.00      5.700    -0.028   233.848
  508.14  -28.00      5.686    -0.045   232.674
  508.14  -27.00      5.670    -0.051   231.381
  508.14  -26.00      5.657    -0.042   230.307
  508.14  -25.00      5.647    -0.022   229.516
  508.14  -24.00      5.640     0.006   228.974
  508.14  -23.00      5.631     0.029   228.175
  508.14  -22.00      5.629     0.048   228.068
  508.14  -21.00      5.636     0.072   228.636
  508.14  -20.00      5.650     0.090   229.750
