beta (β), betay (β_y), and betaz (β_z) 
Latitude is planetocentric and pressure unit is mbar
Unit of beta, betay, and betaz is 1e-12 1/(s*m) 
Data in each pressure level with varying latitude is saved 

Pressure level 508.1449 mbar
pressure latitude     beta      betay     betaz
  508.14  -90.00      0.000    -0.542    -3.458
  508.14  -89.00      0.106    -0.542   -24.827
  508.14  -88.00      0.212     3.001   -12.008
  508.14  -87.00      0.318     2.991   -46.000
  508.14  -86.00      0.424     2.982   -27.460
  508.14  -85.00      0.529     2.192   -37.970
  508.14  -84.00      0.634     2.580   -26.001
  508.14  -83.00      0.739    -3.852   -18.356
  508.14  -82.00      0.844    -3.869    -8.747
  508.14  -81.00      0.948    -2.573    -3.143
  508.14  -80.00      1.052    -3.849     1.969
  508.14  -79.00      1.155    -3.199     7.105
  508.14  -78.00      1.258    -3.271    11.552
  508.14  -77.00      1.360    -2.888    14.715
  508.14  -76.00      1.461    -4.229    15.912
  508.14  -75.00      1.562    -5.707    15.148
  508.14  -74.00      1.662    -5.237    10.769
  508.14  -73.00      1.762    -0.335     3.549
  508.14  -72.00      1.860     4.425    -1.099
  508.14  -71.00      1.958    12.603    -3.127
  508.14  -70.00      2.055    15.029    -2.332
  508.14  -69.00      2.151     1.637     0.230
  508.14  -68.00      2.245    -3.595     0.910
  508.14  -67.00      2.339    -2.238    -2.410
  508.14  -66.00      2.432    -5.818    -8.376
  508.14  -65.00      2.524    -3.671   -15.881
  508.14  -64.00      2.615    -3.755   -19.480
  508.14  -63.00      2.704    -2.668   -15.205
  508.14  -62.00      2.792    -2.091    -6.867
  508.14  -61.00      2.880    -4.946    -0.773
  508.14  -60.00      2.965    -7.585     3.619
  508.14  -59.00      3.050    -6.557     6.587
  508.14  -58.00      3.133    -4.666     7.277
  508.14  -57.00      3.215     4.627     7.045
  508.14  -56.00      3.296    18.712     6.886
  508.14  -55.00      3.375    13.799     8.804
  508.14  -54.00      3.453     5.265    13.267
  508.14  -53.00      3.530     4.598    17.035
  508.14  -52.00      3.605    -0.202    15.293
  508.14  -51.00      3.679    -3.704    11.723
  508.14  -50.00      3.751    -6.126    10.651
  508.14  -49.00      3.822    -7.843     7.817
  508.14  -48.00      3.891    -7.963     3.368
  508.14  -47.00      3.959    -7.247     1.101
  508.14  -46.00      4.025    -3.952     0.487
  508.14  -45.00      4.090     1.963    -0.048
  508.14  -44.00      4.153     8.703    -0.706
  508.14  -43.00      4.215    13.568    -0.620
  508.14  -42.00      4.275    13.194    -0.217
  508.14  -41.00      4.334     5.786     0.339
  508.14  -40.00      4.391    -3.341     1.359
  508.14  -39.00      4.447    -3.430     0.557
  508.14  -38.00      4.501    -5.497    -1.504
  508.14  -37.00      4.554    -4.411    -3.321
  508.14  -36.00      4.605    -5.061    -3.446
  508.14  -35.00      4.654    -5.330    -2.011
  508.14  -34.00      4.702    -5.833    -0.133
  508.14  -33.00      4.749    -3.978     1.108
  508.14  -32.00      4.793    -1.640     1.843
  508.14  -31.00      4.837     1.558     1.274
  508.14  -30.00      4.879     3.759    -0.440
  508.14  -29.00      4.919     2.305    -1.695
  508.14  -28.00      4.958     4.827    -2.600
  508.14  -27.00      4.996     2.675    -2.991
  508.14  -26.00      5.032    -4.049    -2.784
  508.14  -25.00      5.066    -5.202    -1.901
  508.14  -24.00      5.099    -2.921    -0.401
  508.14  -23.00      5.131    -1.478     0.775
  508.14  -22.00      5.161    -0.491     1.557
  508.14  -21.00      5.190    -1.729     2.457
  508.14  -20.00      5.217    -1.346     2.981
  508.14  -19.00      5.243    -1.849     3.350
  508.14  -18.00      5.267     0.453     3.806
  508.14  -17.00      5.291    -0.414     4.426
  508.14  -16.00      5.312     1.423     4.195
  508.14  -15.00      5.333    -1.808     3.665
  508.14  -14.00      5.352    -1.377     3.129
  508.14  -13.00      5.369    -1.392     2.336
  508.14  -12.00      5.386     1.676     0.795
  508.14  -11.00      5.401     4.215    -1.225
  508.14  -10.00      5.414     4.718    -3.439
  508.14   -9.00      5.427     4.372    -5.531
  508.14   -8.00      5.438     5.082    -7.256
  508.14   -7.00      5.447     2.855    -8.801
  508.14   -6.00      5.456     2.071   -10.565
  508.14   -5.00      5.463    -0.601   -12.160
  508.14   -4.00      5.469    -3.421   -11.683
  508.14   -3.00      5.473    -2.789    -8.484
  508.14   -2.00      5.476    -1.185    -4.027
  508.14   -1.00      5.478     1.156    -0.877
  508.14    0.00      5.479     3.922    -0.000
  508.14    1.00      5.478     3.780    -0.740
  508.14    2.00      5.476    -6.115    -2.973
  508.14    3.00      5.473    -0.916    -5.842
  508.14    4.00      5.469    -1.578    -7.270
  508.14    5.00      5.463     0.464    -8.060
  508.14    6.00      5.456     2.252    -7.636
  508.14    7.00      5.447     5.777    -7.008
  508.14    8.00      5.438     5.216    -5.840
  508.14    9.00      5.427     3.419    -4.278
  508.14   10.00      5.414     3.469    -1.872
  508.14   11.00      5.401     3.228     1.827
  508.14   12.00      5.386    -0.276     6.051
  508.14   13.00      5.369     2.450     8.806
  508.14   14.00      5.352    -0.141    11.079
  508.14   15.00      5.333    -4.362    12.338
  508.14   16.00      5.312    -0.196    12.361
  508.14   17.00      5.291    -1.823    12.710
  508.14   18.00      5.267     0.355    11.446
  508.14   19.00      5.243     0.155    10.664
  508.14   20.00      5.217    -0.016    10.986
  508.14   21.00      5.190    -0.881    12.321
  508.14   22.00      5.161    -2.338    13.667
  508.14   23.00      5.131    -2.409    14.172
  508.14   24.00      5.099    -2.317    12.276
  508.14   25.00      5.066    -1.817     8.619
  508.14   26.00      5.032    -1.597     6.291
  508.14   27.00      4.996     2.032     5.477
  508.14   28.00      4.958     1.916     7.226
  508.14   29.00      4.919     2.142     9.696
  508.14   30.00      4.879     4.853    12.971
  508.14   31.00      4.837     0.180    18.807
  508.14   32.00      4.793    -4.093    22.822
  508.14   33.00      4.749    -5.695    21.615
  508.14   34.00      4.702    -7.401    13.593
  508.14   35.00      4.654    -6.110    -1.619
  508.14   36.00      4.605    -6.610   -20.719
  508.14   37.00      4.554    -6.814   -46.000
  508.14   38.00      4.501    -4.793   -46.000
  508.14   39.00      4.447     0.718   -46.000
  508.14   40.00      4.391     7.934   -46.000
  508.14   41.00      4.334    13.206   -46.000
  508.14   42.00      4.275    16.071   -46.000
  508.14   43.00      4.215     9.069   -46.000
  508.14   44.00      4.153     0.982   -46.000
  508.14   45.00      4.090    -5.415   -44.811
  508.14   46.00      4.025    -1.376   -39.757
  508.14   47.00      3.959    -6.653   -28.472
  508.14   48.00      3.891    -3.203   -21.101
  508.14   49.00      3.822    -5.765   -13.603
  508.14   50.00      3.751    -4.990   -15.213
  508.14   51.00      3.679    -5.349   -24.369
  508.14   52.00      3.605    -4.390   -40.470
  508.14   53.00      3.530    -1.709   -46.000
  508.14   54.00      3.453     2.063   -46.000
  508.14   55.00      3.375     5.296   -46.000
  508.14   56.00      3.296     7.446   -46.000
  508.14   57.00      3.215     3.888   -46.000
  508.14   58.00      3.133    -2.379   -46.000
  508.14   59.00      3.050    -1.459   -46.000
  508.14   60.00      2.965     1.466   -29.937
  508.14   61.00      2.880     5.717     7.222
  508.14   62.00      2.792     9.900    46.000
  508.14   63.00      2.704     4.356    46.000
  508.14   64.00      2.615    -4.336    46.000
  508.14   65.00      2.524    -1.876    46.000
  508.14   66.00      2.432    -3.281    46.000
  508.14   67.00      2.339    -4.855    46.000
  508.14   68.00      2.245    -2.667    31.931
  508.14   69.00      2.151    -3.597     9.158
  508.14   70.00      2.055    -3.966     2.671
  508.14   71.00      1.958    -5.930    14.740
  508.14   72.00      1.860    -5.153    29.160
  508.14   73.00      1.762    -0.257    37.941
  508.14   74.00      1.662     4.213    39.219
  508.14   75.00      1.562    11.244    32.303
  508.14   76.00      1.461    13.817    26.573
  508.14   77.00      1.360    -1.081    22.699
  508.14   78.00      1.258    -7.758    13.140
  508.14   79.00      1.155    -3.823     1.847
  508.14   80.00      1.052    -6.953    -3.674
  508.14   81.00      0.948    -6.076    -4.072
  508.14   82.00      0.844    -1.961     1.356
  508.14   83.00      0.739     1.251    10.366
  508.14   84.00      0.634     6.687    18.328
  508.14   85.00      0.529    13.522    21.363
  508.14   86.00      0.424    11.900    20.212
  508.14   87.00      0.318    12.641    18.975
  508.14   88.00      0.212     6.321    23.013
  508.14   89.00      0.106     0.001    23.320
  508.14   90.00      0.000     0.001     3.322

Pressure level 443.7832 mbar
pressure latitude     beta      betay     betaz
  443.78  -90.00      0.000     1.243    -3.808
  443.78  -89.00      0.106     1.243   -27.363
  443.78  -88.00      0.212     3.155   -13.244
  443.78  -87.00      0.318     3.132   -46.000
  443.78  -86.00      0.423     3.109   -30.294
  443.78  -85.00      0.529     1.901   -41.899
  443.78  -84.00      0.634     2.637   -28.698
  443.78  -83.00      0.739    -3.884   -20.263
  443.78  -82.00      0.844    -3.820    -9.656
  443.78  -81.00      0.948    -2.570    -3.470
  443.78  -80.00      1.052    -3.849     2.174
  443.78  -79.00      1.155    -3.190     7.841
  443.78  -78.00      1.258    -3.250    12.746
  443.78  -77.00      1.360    -2.864    16.232
  443.78  -76.00      1.461    -4.207    17.550
  443.78  -75.00      1.562    -5.659    16.706
  443.78  -74.00      1.662    -5.199    11.878
  443.78  -73.00      1.762    -0.365     3.914
  443.78  -72.00      1.860     4.392    -1.213
  443.78  -71.00      1.958    12.565    -3.451
  443.78  -70.00      2.054    15.001    -2.574
  443.78  -69.00      2.150     1.661     0.254
  443.78  -68.00      2.245    -3.542     1.004
  443.78  -67.00      2.339    -2.202    -2.658
  443.78  -66.00      2.432    -5.791    -9.241
  443.78  -65.00      2.524    -3.713   -17.523
  443.78  -64.00      2.614    -3.860   -21.501
  443.78  -63.00      2.704    -2.742   -16.791
  443.78  -62.00      2.792    -2.073    -7.588
  443.78  -61.00      2.879    -4.927    -0.855
  443.78  -60.00      2.965    -7.561     4.003
  443.78  -59.00      3.050    -6.509     7.288
  443.78  -58.00      3.133    -4.642     8.052
  443.78  -57.00      3.215     4.627     7.793
  443.78  -56.00      3.296    18.712     7.614
  443.78  -55.00      3.375    13.740     9.733
  443.78  -54.00      3.453     5.261    14.666
  443.78  -53.00      3.530     4.694    18.835
  443.78  -52.00      3.605    -0.160    16.915
  443.78  -51.00      3.678    -3.752    12.971
  443.78  -50.00      3.751    -6.071    11.789
  443.78  -49.00      3.821    -7.780     8.654
  443.78  -48.00      3.891    -7.998     3.730
  443.78  -47.00      3.959    -7.281     1.219
  443.78  -46.00      4.025    -3.952     0.540
  443.78  -45.00      4.090     1.963    -0.053
  443.78  -44.00      4.153     8.667    -0.782
  443.78  -43.00      4.215    13.543    -0.686
  443.78  -42.00      4.275    13.175    -0.240
  443.78  -41.00      4.334     5.759     0.376
  443.78  -40.00      4.391    -3.279     1.505
  443.78  -39.00      4.446    -3.368     0.617
  443.78  -38.00      4.501    -5.485    -1.666
  443.78  -37.00      4.553    -4.471    -3.679
  443.78  -36.00      4.604    -5.131    -3.819
  443.78  -35.00      4.654    -5.359    -2.229
  443.78  -34.00      4.702    -5.808    -0.148
  443.78  -33.00      4.748    -3.951     1.229
  443.78  -32.00      4.793    -1.563     2.045
  443.78  -31.00      4.836     1.638     1.414
  443.78  -30.00      4.878     3.740    -0.489
  443.78  -29.00      4.919     2.284    -1.881
  443.78  -28.00      4.958     4.780    -2.886
  443.78  -27.00      4.995     2.612    -3.321
  443.78  -26.00      5.031    -4.108    -3.091
  443.78  -25.00      5.066    -5.253    -2.111
  443.78  -24.00      5.099    -2.904    -0.445
  443.78  -23.00      5.130    -1.454     0.861
  443.78  -22.00      5.160    -0.520     1.730
  443.78  -21.00      5.189    -1.706     2.730
  443.78  -20.00      5.217    -1.343     3.313
  443.78  -19.00      5.242    -1.869     3.724
  443.78  -18.00      5.267     0.409     4.231
  443.78  -17.00      5.290    -0.272     4.921
  443.78  -16.00      5.312     1.504     4.663
  443.78  -15.00      5.332    -1.748     4.074
  443.78  -14.00      5.351    -1.244     3.478
  443.78  -13.00      5.369    -1.120     2.595
  443.78  -12.00      5.385     1.873     0.883
  443.78  -11.00      5.400     4.325    -1.358
  443.78  -10.00      5.414     4.748    -3.808
  443.78   -9.00      5.426     4.331    -6.115
  443.78   -8.00      5.437     5.049    -8.010
  443.78   -7.00      5.447     3.059    -9.701
  443.78   -6.00      5.455     2.335   -11.629
  443.78   -5.00      5.462    -0.891   -13.366
  443.78   -4.00      5.468    -4.045   -12.827
  443.78   -3.00      5.473    -3.568    -9.306
  443.78   -2.00      5.476    -1.870    -4.415
  443.78   -1.00      5.478     1.235    -0.961
  443.78    0.00      5.478     5.895    -0.000
  443.78    1.00      5.478     3.755    -0.812
  443.78    2.00      5.476    -6.789    -3.263
  443.78    3.00      5.473    -2.259    -6.417
  443.78    4.00      5.468    -1.285    -7.993
  443.78    5.00      5.462     0.252    -8.870
  443.78    6.00      5.455     2.451    -8.413
  443.78    7.00      5.447     5.701    -7.728
  443.78    8.00      5.437     5.231    -6.446
  443.78    9.00      5.426     3.359    -4.725
  443.78   10.00      5.414     3.455    -2.068
  443.78   11.00      5.400     3.461     2.018
  443.78   12.00      5.385     0.215     6.684
  443.78   13.00      5.369     2.640     9.724
  443.78   14.00      5.351     0.026    12.228
  443.78   15.00      5.332    -4.257    13.609
  443.78   16.00      5.312    -0.267    13.627
  443.78   17.00      5.290    -1.761    14.006
  443.78   18.00      5.267     0.268    12.608
  443.78   19.00      5.242     0.070    11.745
  443.78   20.00      5.217    -0.074    12.101
  443.78   21.00      5.189    -0.873    13.572
  443.78   22.00      5.160    -2.287    15.055
  443.78   23.00      5.130    -2.320    15.609
  443.78   24.00      5.099    -2.278    13.517
  443.78   25.00      5.066    -1.881     9.488
  443.78   26.00      5.031    -1.654     6.924
  443.78   27.00      4.995     1.960     6.028
  443.78   28.00      4.958     1.903     7.952
  443.78   29.00      4.919     2.135    10.668
  443.78   30.00      4.878     4.823    14.267
  443.78   31.00      4.836     0.236    20.679
  443.78   32.00      4.793    -4.007    25.083
  443.78   33.00      4.748    -5.620    23.745
  443.78   34.00      4.702    -7.352    14.925
  443.78   35.00      4.654    -6.113    -1.777
  443.78   36.00      4.604    -6.585   -22.734
  443.78   37.00      4.553    -6.808   -46.000
  443.78   38.00      4.501    -4.835   -46.000
  443.78   39.00      4.446     0.638   -46.000
  443.78   40.00      4.391     7.797   -46.000
  443.78   41.00      4.334    13.097   -46.000
  443.78   42.00      4.275    16.050   -46.000
  443.78   43.00      4.215     9.109   -46.000
  443.78   44.00      4.153     1.013   -46.000
  443.78   45.00      4.090    -5.375   -46.000
  443.78   46.00      4.025    -1.399   -43.589
  443.78   47.00      3.959    -6.619   -31.209
  443.78   48.00      3.891    -3.197   -23.124
  443.78   49.00      3.821    -5.719   -14.903
  443.78   50.00      3.751    -4.962   -16.661
  443.78   51.00      3.678    -5.333   -26.680
  443.78   52.00      3.605    -4.386   -44.294
  443.78   53.00      3.530    -1.715   -46.000
  443.78   54.00      3.453     2.042   -46.000
  443.78   55.00      3.375     5.262   -46.000
  443.78   56.00      3.296     7.402   -46.000
  443.78   57.00      3.215     3.888   -46.000
  443.78   58.00      3.133    -2.357   -46.000
  443.78   59.00      3.050    -1.463   -46.000
  443.78   60.00      2.965     1.450   -32.731
  443.78   61.00      2.879     5.688     7.893
  443.78   62.00      2.792     9.866    46.000
  443.78   63.00      2.704     4.380    46.000
  443.78   64.00      2.614    -4.265    46.000
  443.78   65.00      2.524    -1.822    46.000
  443.78   66.00      2.432    -3.247    46.000
  443.78   67.00      2.339    -4.810    46.000
  443.78   68.00      2.245    -2.690    34.976
  443.78   69.00      2.150    -3.654    10.033
  443.78   70.00      2.054    -4.041     2.926
  443.78   71.00      1.958    -5.943    16.153
  443.78   72.00      1.860    -5.134    31.962
  443.78   73.00      1.762    -0.226    41.596
  443.78   74.00      1.662     4.250    43.009
  443.78   75.00      1.562    11.238    35.434
  443.78   76.00      1.461    13.805    29.156
  443.78   77.00      1.360    -1.046    24.911
  443.78   78.00      1.258    -7.738    14.424
  443.78   79.00      1.155    -3.855     2.027
  443.78   80.00      1.052    -6.978    -4.032
  443.78   81.00      0.948    -6.099    -4.466
  443.78   82.00      0.844    -1.973     1.486
  443.78   83.00      0.739     1.255    11.359
  443.78   84.00      0.634     6.703    20.082
  443.78   85.00      0.529    13.533    23.406
  443.78   86.00      0.423    11.900    22.147
  443.78   87.00      0.318    12.624    20.794
  443.78   88.00      0.212     6.344    25.219
  443.78   89.00      0.106     0.064    25.559
  443.78   90.00      0.000     0.064     3.641

Pressure level 387.5681 mbar
pressure latitude     beta      betay     betaz
  387.57  -90.00      0.000     1.768   -46.000
  387.57  -89.00      0.106     1.768   -18.011
  387.57  -88.00      0.212     3.228    -9.114
  387.57  -87.00      0.318     3.189   -46.000
  387.57  -86.00      0.423     3.151   -25.642
  387.57  -85.00      0.529     1.761   -35.150
  387.57  -84.00      0.634     2.649   -23.869
  387.57  -83.00      0.739    -3.904   -15.963
  387.57  -82.00      0.844    -3.799    -6.566
  387.57  -81.00      0.948    -2.571    -1.235
  387.57  -80.00      1.052    -3.848     3.339
  387.57  -79.00      1.155    -3.195     7.729
  387.57  -78.00      1.258    -3.240    10.951
  387.57  -77.00      1.360    -2.847    12.866
  387.57  -76.00      1.461    -4.187    12.832
  387.57  -75.00      1.562    -5.604    11.245
  387.57  -74.00      1.662    -5.138     7.033
  387.57  -73.00      1.761    -0.413     1.128
  387.57  -72.00      1.860     4.341    -2.631
  387.57  -71.00      1.958    12.528    -4.487
  387.57  -70.00      2.054    14.994    -4.001
  387.57  -69.00      2.150     1.705    -2.077
  387.57  -68.00      2.245    -3.483    -1.583
  387.57  -67.00      2.339    -2.180    -4.178
  387.57  -66.00      2.432    -5.784    -8.830
  387.57  -65.00      2.523    -3.759   -14.667
  387.57  -64.00      2.614    -3.953   -17.568
  387.57  -63.00      2.704    -2.797   -14.385
  387.57  -62.00      2.792    -2.043    -7.823
  387.57  -61.00      2.879    -4.898    -2.725
