Zonal winds (U), betab (β_b), and betae (β_e) 
Latitude is planetocentric and pressure unit is mbar
Unit of zonal winds (U) is m/s; Unit of betab and betae is 1e-12 1/(s*m) 
Meridional profile of zonal winds (U) is saved first
Then data of betab and betae is saved in each pressure level with varying latitude  

zonal winds (U) at 500 mbar
latitude    U
-90.00      6.700
-89.00    102.100
-88.00    146.400
-87.00    142.600
-86.00    130.200
-85.00    114.400
-84.00     87.200
-83.00     56.200
-82.00     40.000
-81.00     27.100
-80.00     16.100
-79.00      6.500
-78.00      2.700
-77.00     -0.400
-76.00      0.300
-75.00      2.300
-74.00      8.700
-73.00     19.900
-72.00     41.600
-71.00     83.800
-70.00     86.300
-69.00     43.700
-68.00     18.200
-67.00      0.500
-66.00     -8.500
-65.00    -13.200
-64.00    -14.800
-63.00    -12.600
-62.00     -8.000
-61.00     -2.200
-60.00      6.100
-59.00     13.700
-58.00     24.600
-57.00     83.300
-56.00    140.400
-55.00    135.533
-54.00    113.000
-53.00     93.000
-52.00     71.900
-51.00     51.100
-50.00     32.300
-49.00     22.400
-48.00     21.300
-47.00     30.600
-46.00     47.200
-45.00     71.400
-44.00    101.867
-43.00    127.000
-42.00    130.300
-41.00     90.000
-40.00     51.367
-39.00     22.700
-38.00      7.800
-37.00     -1.800
-36.00     -6.400
-35.00    -11.400
-34.00    -12.300
-33.00     -1.100
-32.00     18.200
-31.00     43.300
-30.00     53.000
-29.00     63.100
-28.00     82.600
-27.00     80.300
-26.00     63.800
-25.00     61.200
-24.00     74.400
-23.00     95.700
-22.00    109.867
-21.00    125.200
-20.00    135.500
-19.00    157.200
-18.00    174.600
-17.00    201.800
-16.00    221.400
-15.00    237.200
-14.00    251.700
-13.00    273.300
-12.00    303.400
-11.00    332.900
-10.00    348.633
 -9.00    362.900
 -8.00    367.467
 -7.00    368.733
 -6.00    365.200
 -5.00    357.300
 -4.00    349.400
 -3.00    344.400
 -2.00    349.767
 -1.00    359.000
  0.00    387.667
  1.00    368.100
  2.00    353.550
  3.00    354.800
  4.00    361.600
  5.00    366.300
  6.00    377.800
  7.00    385.200
  8.00    381.500
  9.00    365.350
 10.00    354.567
 11.00    328.300
 12.00    306.300
 13.00    294.867
 14.00    257.100
 15.00    233.200
 16.00    212.850
 17.00    197.400
 18.00    182.950
 19.00    167.150
 20.00    150.500
 21.00    129.450
 22.00    112.300
 23.00     96.750
 24.00     86.800
 25.00     75.600
 26.00     73.200
 27.00     73.700
 28.00     61.000
 29.00     58.850
 30.00     53.850
 31.00     30.150
 32.00      5.500
 33.00    -15.750
 34.00    -21.300
 35.00    -17.200
 36.00     -8.800
 37.00      2.750
 38.00     24.150
 39.00     55.500
 40.00     89.050
 41.00    128.200
 42.00    139.800
 43.00    121.650
 44.00     68.167
 45.00     46.450
 46.00     24.800
 47.00     14.700
 48.00      5.000
 49.00     -1.300
 50.00     -2.550
 51.00      2.350
 52.00     12.700
 53.00     28.967
 54.00     48.400
 55.00     71.800
 56.00     90.700
 57.00     85.750
 58.00     70.550
 59.00     62.750
 60.00     66.600
 61.00     84.450
 62.00     95.450
 63.00     62.700
 64.00     30.600
 65.00     17.600
 66.00      2.600
 67.00     -5.200
 68.00     -9.200
 69.00    -11.600
 70.00    -11.200
 71.00     -8.500
 72.00     -1.200
 73.00     10.900
 74.00     31.633
 75.00     74.200
 76.00     79.500
 77.00     35.267
 78.00     12.900
 79.00      9.600
 80.00     10.400
 81.00     21.467
 82.00     33.000
 83.00     49.636
 84.00     66.050
 85.00     96.805
 86.00     89.306
 87.00     46.668
 88.00     16.986
 89.00      8.493
 90.00      0.000

Pressure level 508.1449 mbar
pressure latitude     betab     betae
  508.14  -90.00     -0.542    -4.000
  508.14  -89.00     -0.436   -25.262
  508.14  -88.00      3.213    -8.795
  508.14  -87.00      3.309   -46.000
  508.14  -86.00      3.405   -24.055
  508.14  -85.00      2.721   -35.248
  508.14  -84.00      3.214   -22.787
  508.14  -83.00     -3.113   -21.469
  508.14  -82.00     -3.025   -11.773
  508.14  -81.00     -1.625    -4.768
  508.14  -80.00     -2.797    -0.828
  508.14  -79.00     -2.044     5.061
  508.14  -78.00     -2.013     9.540
  508.14  -77.00     -1.528    13.187
  508.14  -76.00     -2.768    13.144
  508.14  -75.00     -4.145    11.003
  508.14  -74.00     -3.575     7.194
  508.14  -73.00      1.426     4.975
  508.14  -72.00      6.285     5.186
  508.14  -71.00     13.250    11.434
  508.14  -70.00     13.250    14.751
  508.14  -69.00      3.787     4.017
  508.14  -68.00     -1.350    -0.440
  508.14  -67.00      0.102    -2.308
  508.14  -66.00     -3.386   -11.762
  508.14  -65.00     -1.147   -17.028
  508.14  -64.00     -1.140   -20.620
  508.14  -63.00      0.036   -15.169
  508.14  -62.00      0.702    -6.165
  508.14  -61.00     -2.067    -2.840
  508.14  -60.00     -4.619    -1.001
  508.14  -59.00     -3.507     3.081
  508.14  -58.00     -1.532     5.745
  508.14  -57.00      7.843    14.888
  508.14  -56.00     13.250    29.127
  508.14  -55.00     13.250    25.978
  508.14  -54.00      8.719    21.985
  508.14  -53.00      8.128    25.163
  508.14  -52.00      3.403    18.696
  508.14  -51.00     -0.026    11.697
  508.14  -50.00     -2.375     8.276
  508.14  -49.00     -4.022     3.795
  508.14  -48.00     -4.072    -0.704
  508.14  -47.00     -3.288    -2.187
  508.14  -46.00      0.073     0.560
  508.14  -45.00      6.053     6.005
  508.14  -44.00     12.856    12.150
  508.14  -43.00     13.250    17.164
  508.14  -42.00     13.250    17.253
  508.14  -41.00     10.120    10.459
  508.14  -40.00      1.050     2.409
  508.14  -39.00      1.017     1.574
  508.14  -38.00     -0.996    -2.500
  508.14  -37.00      0.142    -3.179
  508.14  -36.00     -0.456    -3.902
  508.14  -35.00     -0.676    -2.687
  508.14  -34.00     -1.131    -1.265
  508.14  -33.00      0.770     1.878
  508.14  -32.00      3.154     4.997
  508.14  -31.00      6.395     7.669
  508.14  -30.00      8.638     8.197
  508.14  -29.00      7.224     5.529
  508.14  -28.00      9.785     7.185
  508.14  -27.00      7.671     4.680
  508.14  -26.00      0.982    -1.802
  508.14  -25.00     -0.136    -2.038
  508.14  -24.00      2.178     1.777
  508.14  -23.00      3.653     4.428
  508.14  -22.00      4.670     6.227
  508.14  -21.00      3.461     5.918
  508.14  -20.00      3.871     6.852
  508.14  -19.00      3.394     6.744
  508.14  -18.00      5.721     9.526
  508.14  -17.00      4.876     9.302
  508.14  -16.00      6.735    10.929
  508.14  -15.00      3.524     7.189
  508.14  -14.00      3.974     7.104
  508.14  -13.00      3.977     6.314
  508.14  -12.00      7.061     7.857
  508.14  -11.00      9.616     8.390
  508.14  -10.00     10.132     6.693
  508.14   -9.00      9.799     4.268
  508.14   -8.00     10.520     3.264
  508.14   -7.00      8.302    -0.499
  508.14   -6.00      7.527    -3.038
  508.14   -5.00      4.862    -7.298
  508.14   -4.00      2.048    -9.636
  508.14   -3.00      2.684    -5.800
  508.14   -2.00      4.292     0.265
  508.14   -1.00      6.634     5.758
  508.14    0.00      9.401     9.401
  508.14    1.00      9.258     8.518
  508.14    2.00     -0.639    -3.612
  508.14    3.00      4.557    -1.285
  508.14    4.00      3.890    -3.380
  508.14    5.00      5.927    -2.133
  508.14    6.00      7.708     0.071
  508.14    7.00     11.224     4.217
  508.14    8.00     10.653     4.814
  508.14    9.00      8.845     4.568
  508.14   10.00      8.883     7.011
  508.14   11.00      8.628    10.455
  508.14   12.00      5.110    11.161
  508.14   13.00      7.819    16.625
  508.14   14.00      5.210    16.290
  508.14   15.00      0.971    13.309
  508.14   16.00      5.117    17.478
  508.14   17.00      3.468    16.178
  508.14   18.00      5.622    17.068
  508.14   19.00      5.398    16.062
  508.14   20.00      5.201    16.187
  508.14   21.00      4.308    16.629
  508.14   22.00      2.823    16.490
  508.14   23.00      2.722    16.894
  508.14   24.00      2.782    15.058
  508.14   25.00      3.249    11.868
  508.14   26.00      3.435     9.726
  508.14   27.00      7.028    12.505
  508.14   28.00      6.875    14.101
  508.14   29.00      7.061    16.757
  508.14   30.00      9.732    22.703
  508.14   31.00      5.017    23.824
  508.14   32.00      0.700    23.523
  508.14   33.00     -0.947    20.669
  508.14   34.00     -2.699    10.893
  508.14   35.00     -1.456    -3.075
  508.14   36.00     -2.005   -22.725
  508.14   37.00     -2.261   -46.000
  508.14   38.00     -0.292   -46.000
  508.14   39.00      5.164   -44.836
  508.14   40.00     12.326   -37.674
  508.14   41.00     13.250   -32.460
  508.14   42.00     13.250   -29.654
  508.14   43.00     13.250   -36.716
  508.14   44.00      5.135   -44.865
  508.14   45.00     -1.325   -46.000
  508.14   46.00      2.649   -37.108
  508.14   47.00     -2.694   -31.166
  508.14   48.00      0.688   -20.413
  508.14   49.00     -1.943   -15.546
  508.14   50.00     -1.239   -16.452
  508.14   51.00     -1.670   -26.039
  508.14   52.00     -0.785   -41.255
  508.14   53.00      1.821   -46.000
  508.14   54.00      5.517   -44.483
  508.14   55.00      8.672   -41.328
  508.14   56.00     10.743   -39.257
  508.14   57.00      7.103   -42.897
  508.14   58.00      0.754   -46.000
  508.14   59.00      1.591   -45.541
  508.14   60.00      4.431   -25.506
  508.14   61.00      8.597    15.819
  508.14   62.00     12.693    46.000
  508.14   63.00      7.061    46.000
  508.14   64.00     -1.721    46.000
  508.14   65.00      0.648    46.000
  508.14   66.00     -0.849    46.000
  508.14   67.00     -2.515    46.000
  508.14   68.00     -0.421    31.510
  508.14   69.00     -1.447     7.711
  508.14   70.00     -1.912     0.759
  508.14   71.00     -3.972    10.768
  508.14   72.00     -3.293    25.867
  508.14   73.00      1.505    39.446
  508.14   74.00      5.875    45.094
  508.14   75.00     12.807    45.109
  508.14   76.00     13.250    41.851
  508.14   77.00      0.279    22.978
  508.14   78.00     -6.500     6.641
  508.14   79.00     -2.668    -0.821
  508.14   80.00     -5.901    -9.575
  508.14   81.00     -5.128    -9.201
  508.14   82.00     -1.117     0.239
  508.14   83.00      1.990    12.356
  508.14   84.00      7.321    25.649
  508.14   85.00     13.250    35.413
  508.14   86.00     12.324    32.535
  508.14   87.00     12.959    31.934
  508.14   88.00      6.533    29.545
  508.14   89.00      0.107    23.427
  508.14   90.00      0.001     3.323

Pressure level 443.7832 mbar
pressure latitude     betab     betae
  443.78  -90.00      1.243    -2.565
  443.78  -89.00      1.349   -26.014
  443.78  -88.00      3.367    -9.877
  443.78  -87.00      3.450   -46.000
  443.78  -86.00      3.532   -26.762
  443.78  -85.00      2.430   -39.469
  443.78  -84.00      3.271   -25.427
  443.78  -83.00     -3.145   -23.408
  443.78  -82.00     -2.977   -12.633
  443.78  -81.00     -1.622    -5.092
  443.78  -80.00     -2.797    -0.624
  443.78  -79.00     -2.035     5.807
  443.78  -78.00     -1.993    10.753
  443.78  -77.00     -1.504    14.728
  443.78  -76.00     -2.746    14.804
  443.78  -75.00     -4.097    12.609
  443.78  -74.00     -3.537     8.341
  443.78  -73.00      1.397     5.311
  443.78  -72.00      6.252     5.040
  443.78  -71.00     13.250    11.072
  443.78  -70.00     13.250    14.482
  443.78  -69.00      3.812     4.065
  443.78  -68.00     -1.297    -0.293
  443.78  -67.00      0.137    -2.521
  443.78  -66.00     -3.359   -12.600
  443.78  -65.00     -1.189   -18.712
  443.78  -64.00     -1.246   -22.747
  443.78  -63.00     -0.038   -16.829
  443.78  -62.00      0.719    -6.868
  443.78  -61.00     -2.048    -2.903
  443.78  -60.00     -4.596    -0.593
  443.78  -59.00     -3.459     3.829
  443.78  -58.00     -1.509     6.542
  443.78  -57.00      7.843    15.635
  443.78  -56.00     13.250    29.809
  443.78  -55.00     13.250    26.848
  443.78  -54.00      8.714    23.380
  443.78  -53.00      8.223    27.058
  443.78  -52.00      3.444    20.359
  443.78  -51.00     -0.073    12.898
  443.78  -50.00     -2.321     9.468
  443.78  -49.00     -3.959     4.695
  443.78  -48.00     -4.107    -0.377
  443.78  -47.00     -3.323    -2.103
  443.78  -46.00      0.073     0.612
  443.78  -45.00      6.053     5.999
  443.78  -44.00     12.820    12.038
