betae (β_e) in 2009 and 2011 
Latitude is planetocentric and pressure unit is mbar
Unit of betae is 1e-12 1/(s*m) 
Data in each pressure level with varying latitude is saved 

Pressure level 508.1449 mbar
pressure latitude  betae(2009)  betae(2011)  
  508.14  -90.00    -13.884   -46.000
  508.14  -89.00    -26.959   -28.735
  508.14  -88.00    -13.794   -12.748
  508.14  -87.00    -46.000   -46.000
  508.14  -86.00    -23.092   -13.913
  508.14  -85.00    -29.944   -20.171
  508.14  -84.00    -17.558    -5.518
  508.14  -83.00    -17.543    -9.691
  508.14  -82.00     -9.857    -5.285
  508.14  -81.00     -3.757    -0.952
  508.14  -80.00     -0.440     0.933
  508.14  -79.00      5.181     4.642
  508.14  -78.00      9.249     7.588
  508.14  -77.00     11.970     9.028
  508.14  -76.00     10.569     6.409
  508.14  -75.00      7.054     2.085
  508.14  -74.00      3.158     1.765
  508.14  -73.00      3.069     7.176
  508.14  -72.00      5.316    12.532
  508.14  -71.00     13.631    21.030
  508.14  -70.00     18.224    23.305
  508.14  -69.00      8.298    10.877
  508.14  -68.00      5.358     7.222
  508.14  -67.00      6.498     8.841
  508.14  -66.00      1.620     5.703
  508.14  -65.00      2.362     9.678
  508.14  -64.00      2.520    12.204
  508.14  -63.00      5.523    14.726
  508.14  -62.00      8.885    16.208
  508.14  -61.00      8.030    15.832
  508.14  -60.00      5.713    14.770
  508.14  -59.00      5.460    15.099
  508.14  -58.00      5.141    15.413
  508.14  -57.00     10.873    20.537
  508.14  -56.00     20.407    27.390
  508.14  -55.00     13.309    17.521
  508.14  -54.00      6.702     7.826
  508.14  -53.00      9.551     6.844
  508.14  -52.00      8.511     5.040
  508.14  -51.00      7.982     6.548
  508.14  -50.00      8.326     9.607
  508.14  -49.00      8.446    14.318
  508.14  -48.00      8.148    18.257
  508.14  -47.00      7.369    18.106
  508.14  -46.00      8.033    16.078
  508.14  -45.00      9.679    14.681
  508.14  -44.00     11.286    14.049
  508.14  -43.00     11.698    11.928
  508.14  -42.00      9.369     6.893
  508.14  -41.00      3.487    -0.665
  508.14  -40.00     -2.057    -6.644
  508.14  -39.00      0.096    -2.803
  508.14  -38.00     -1.395    -0.246
  508.14  -37.00     -1.034     3.646
  508.14  -36.00     -2.162     4.041
  508.14  -35.00     -1.970     3.600
  508.14  -34.00     -0.770     2.091
  508.14  -33.00      3.304     2.725
  508.14  -32.00      7.075     4.437
  508.14  -31.00      9.651     6.738
  508.14  -30.00      9.754     7.614
  508.14  -29.00      6.375     5.818
