Temporal variations of zonal winds (U) measured by ISS MT2/3 and CIRS 
Latitude is planetocentric and wind & uncertainty (error) unit is m/s

latitude  MT2/3(2004-09)  error MT2/3(2014)  error  CIRS(2004-09)  error  CIRS(2014)  error
 -2.00     301.450       57.850   422.174     9.324   348.359     61.079   314.548    58.746
 -1.90     319.800       65.100   425.879     9.332   351.459     61.522   318.538    59.205
 -1.80     341.300       60.050   428.527     9.107   354.558     61.964   322.528    59.664
 -1.70     362.800       55.000   416.784     9.164   357.657     62.407   326.517    60.123
 -1.60     366.000       63.600   412.505    10.687   360.757     62.849   330.507    60.582
 -1.50     374.700       63.050   410.792    12.138   363.856     63.292   334.497    61.041
 -1.40     383.400       62.500   408.336    12.683   366.955     63.735   338.487    61.500
 -1.30     379.933       65.533   400.089    11.659   370.055     64.177   342.477    61.959
 -1.20     376.467       68.567   406.759    10.774   373.154     64.620   346.466    62.418
 -1.10     373.000       71.600   420.451     9.706   376.253     65.062   350.456    62.877
 -1.00     407.600       38.000   422.457     7.537   379.353     65.505   354.446    63.336
 -0.90     414.000       24.150   424.992     7.098   380.416     65.221   357.905    63.303
 -0.80     420.400       10.300   427.029     7.654   381.480     64.937   361.365    63.270
 -0.70     422.950       10.450   421.423     6.791   382.544     64.653   364.824    63.236
 -0.60     425.500       10.600   418.232     6.702   383.607     64.369   368.284    63.203
 -0.50     422.533       10.700   415.803     7.357   384.671     64.086   371.743    63.170
 -0.40     419.567       10.800   411.077     7.672   385.734     63.802   375.203    63.137
 -0.30     416.600       10.900   412.409     6.952   386.798     63.518   378.662    63.104
 -0.20     406.600       28.400   411.900     6.870   387.861     63.234   382.121    63.070
 -0.10     396.600       45.900   413.300     6.974   388.925     62.950   385.581    63.037
  0.00     389.600       49.800   414.044     6.632   389.989     62.666   389.040    63.004
  0.10     397.450       32.100   418.713     4.893   388.725     62.382   386.921    62.971
  0.20     405.300       14.400   419.327     4.330   387.461     62.098   384.801    62.938
  0.30     407.650       14.350   418.567     4.420   386.197     61.814   382.681    62.905
  0.40     410.000       14.300   417.868     4.913   384.933     61.530   380.561    62.871
  0.50     410.033       12.100   417.641     5.507   383.669     61.247   378.441    62.838
  0.60     410.067        9.900   419.500     7.160   382.405     60.963   376.321    62.805
  0.70     410.100        7.700   417.837     7.170   381.141     60.679   374.201    62.772
  0.80     408.200       11.450   417.578     7.620   379.877     60.395   372.081    62.739
  0.90     406.300       15.200   419.193     7.708   378.613     60.111   369.962    62.705
  1.00     394.250       22.800   419.799     7.918   377.349     59.827   367.842    62.672
  1.10     382.200       30.400   419.623     8.348   374.332     59.662   363.238    62.234
  1.20     367.200       38.050   419.433     8.390   371.314     59.496   358.635    61.795
  1.30     352.200       45.700   417.581     8.865   368.297     59.331   354.031    61.356
  1.40     324.300       60.400   418.293     8.802   365.280     59.166   349.428    60.917
  1.50     305.350       58.700   415.946     8.418   362.262     59.001   344.824    60.479
  1.60     286.400       57.000   416.650     8.096   359.245     58.835   340.221    60.040
  1.70     269.900       30.700   420.621     6.655   356.228     58.670   335.617    59.601
  1.80     253.400        4.400   423.065     5.358   353.210     58.505   331.014    59.163
  1.90     250.500        7.900   420.707     5.436   350.193     58.339   326.410    58.724
  2.00     247.600       11.400   424.495     5.794   347.176     58.174   321.807    58.285
  2.10     244.700       14.900   422.920     5.774   337.308     57.871   313.780    57.899
  2.20     248.400       13.750   420.750     5.712   327.440     57.569   305.753    57.514
  2.30     252.100       12.600   418.580     5.649   317.572     57.266   297.726    57.128
  2.40     248.100       14.500   416.410     5.587   307.705     56.964   289.699    56.742
  2.50     250.367       15.367   414.239     5.524   297.837     56.661   281.672    56.356
  2.60     252.633       16.233   412.069     5.462   287.969     56.359   273.645    55.970
  2.70     254.900       17.100   409.899     5.400   278.101     56.056   265.618    55.584
  2.80     253.050       17.150   407.729     5.337   268.234     55.754   257.591    55.198
  2.90     251.200       17.200   405.559     5.275   258.366     55.451   249.564    54.812
  3.00     260.200       11.200   403.388     5.213   248.498     55.149   241.537    54.426
  3.10     261.733       11.100   401.218     5.150   249.708     54.878   240.947    54.260
  3.20     263.267       11.000   399.048     5.088   250.918     54.608   240.357    54.094
  3.30     264.800       10.900   396.878     5.026   252.127     54.337   239.768    53.928
  3.40     266.750       11.050   394.708     4.963   253.337     54.067   239.178    53.762
  3.50     268.700       11.200   392.537     4.901   254.547     53.797   238.589    53.595
  3.60     271.100        7.900   390.367     4.839   255.756     53.526   237.999    53.429
  3.70     270.633        8.467   388.197     4.776   256.966     53.256   237.409    53.263
  3.80     270.167        9.033   385.217     4.714   258.175     52.986   236.820    53.097
  3.90     269.700        9.600   381.022     4.652   259.385     52.715   236.230    52.930
  4.00     269.900        8.150   376.828     4.589   260.595     52.445   235.640    52.764
  4.10     270.100        6.700   372.633     4.527   263.342     51.945   237.703    51.586
  4.20     270.700        8.600   368.439     4.465   266.089     51.446   239.765    50.408
  4.30     271.900        7.700   364.244     4.402   268.836     50.946   241.827    49.230
  4.40     273.100        6.800   360.049     4.340   271.583     50.446   243.889    48.052
  4.50     274.300        5.900   355.855     4.278   274.330     49.947   245.951    46.873
  4.60     276.100        5.700   351.660     4.215   277.076     49.447   248.013    45.695
  4.70     275.250        5.900   347.950     4.153   279.823     48.947   250.075    44.517
  4.80     274.400        6.100   345.369     4.091   282.570     48.448   252.138    43.339
  4.90     274.667        6.100   342.789     4.028   285.317     47.948   254.200    42.161
  5.00     274.933        6.100   340.208     3.966   288.064     47.448   256.262    40.983
  5.10     275.200        6.100   337.628     3.903   289.654     46.819   258.069    40.167
  5.20     276.250        6.800   335.048     3.841   291.245     46.190   259.875    39.352
  5.30     277.300        7.500   332.467     3.779   292.835     45.561   261.682    38.536
  5.40     280.700       10.200   329.887     3.716   294.425     44.932   263.489    37.721
  5.50     281.267       10.100   327.306     3.654   296.015     44.303   265.295    36.905
  5.60     281.833       10.000   324.726     3.592   297.605     43.674   267.102    36.090
  5.70     282.400        9.900   322.146     3.529   299.195     43.045   268.909    35.274
  5.80     283.100        9.850   319.754     3.467   300.785     42.416   270.716    34.459
  5.90     283.800        9.800   318.115     3.405   302.376     41.787   272.522    33.643
  6.00     290.500       13.800   316.476     3.342   303.966     41.158   274.329    32.828
  6.10     290.600       14.433   314.837     3.280   305.663     39.865   276.603    32.607
  6.20     290.700       15.067   313.853     2.818   307.359     38.573   278.877    32.387
  6.30     290.800       15.700   312.869     2.356   309.056     37.280   281.151    32.166
  6.40     291.150       15.950   313.677     2.441   310.753     35.987   283.425    31.946
  6.50     291.500       16.200   314.684     2.587   312.450     34.695   285.698    31.725
  6.60     290.200       15.000   315.569     3.153   314.147     33.402   287.972    31.505
  6.70     290.767       14.333   316.334     4.138   315.844     32.109   290.246    31.284
  6.80     291.333       13.667   317.098     5.123   317.541     30.816   292.520    31.064
  6.90     291.900       13.000   317.624     5.166   319.237     29.524   294.794    30.843
  7.00     290.500       10.200   318.090     4.975   320.934     28.231   297.068    30.623
  7.10     289.800       10.200   318.556     4.783   321.723     27.570   298.511    30.218
  7.20     289.100       10.200   318.894     4.543   322.511     26.910   299.954    29.813
  7.30     290.700       10.900   318.729     3.869   323.300     26.249   301.397    29.409
  7.40     292.300       11.600   319.222     3.194   324.089     25.589   302.840    29.004
  7.50     293.900       12.300   320.555     2.901   324.877     24.928   304.283    28.600
  7.60     297.700       12.000   323.150     3.180   325.666     24.267   305.725    28.195
  7.70     301.500       11.700   323.454     2.874   326.454     23.607   307.168    27.790
  7.80     307.200       16.700   323.087     2.440   327.243     22.946   308.611    27.386
  7.90     308.700       19.350   321.907     2.025   328.031     22.286   310.054    26.981
  8.00     310.200       22.000   322.141     2.447   328.820     21.625   311.497    26.577
  8.10     314.733       20.200   323.396     2.708   329.061     21.648   311.259    26.245
  8.20     319.267       18.400   323.095     1.992   329.302     21.670   311.020    25.914
  8.30     323.800       16.600   323.665     1.803   329.543     21.693   310.781    25.582
  8.40     328.500       10.300   325.766     1.716   329.784     21.716   310.543    25.251
  8.50     329.200        9.250   327.303     1.848   330.025     21.739   310.304    24.920
  8.60     329.900        8.200   328.057     2.065   330.267     21.761   310.066    24.588
  8.70     329.367        8.733   328.912     2.217   330.508     21.784   309.827    24.257
  8.80     328.833        9.267   330.128     1.489   330.749     21.807   309.588    23.925
  8.90     328.300        9.800   329.818     1.351   330.990     21.829   309.350    23.594
  9.00     333.200       17.000   329.009     1.405   331.231     21.852   309.111    23.263
  9.10     330.450       15.000   329.441     1.373   331.996     21.906   308.863    22.366
  9.20     327.700       13.000   330.278     1.551   332.760     21.960   308.614    21.470
  9.30     328.600       11.933   330.558     1.340   333.525     22.014   308.365    20.573
  9.40     329.500       10.867   329.139     1.168   334.290     22.068   308.117    19.677
  9.50     330.400        9.800   328.821     1.608   335.054     22.122   307.868    18.780
  9.60     329.700       13.800   330.260     1.693   335.819     22.177   307.620    17.883
  9.70     329.000       17.800   330.057     1.026   336.584     22.231   307.371    16.987
  9.80     333.600       12.700   332.008     1.537   337.348     22.285   307.122    16.090
  9.90     338.200        7.600   331.402     1.434   338.113     22.339   306.874    15.194
 10.00     342.750        9.350   330.347     1.247   338.878     22.393   306.625    14.297
 10.10     347.300       11.100   331.985     1.420   338.775     22.103   306.749    14.194
 10.20     346.700        8.600   331.544     1.491   338.672     21.814   306.874    14.090
 10.30     348.500        7.550   331.801     1.256   338.569     21.524   306.998    13.986
 10.40     350.300        6.500   331.761     1.021   338.466     21.235   307.122    13.883
 10.50     350.250        5.750   332.551     1.016   338.364     20.945   307.247    13.779
 10.60     350.200        5.000   332.629     1.415   338.261     20.656   307.371    13.675
 10.70     349.833        5.733   333.303     1.290   338.158     20.366   307.495    13.572
 10.80     349.467        6.467   333.000     1.210   338.055     20.077   307.620    13.468
 10.90     349.100        7.200   332.779     1.428   337.952     19.788   307.744    13.364
 11.00     350.700        7.400   332.590     1.321   337.850     19.498   307.868    13.261
 11.10     349.100        7.767   332.787     0.890   336.796     18.965   307.513    13.736
 11.20     347.500        8.133   331.098     0.840   335.742     18.432   307.157    14.211
 11.30     345.900        8.500   330.818     1.260   334.687     17.899   306.802    14.687
 11.40     344.300        9.800   329.854     1.196   333.633     17.366   306.447    15.162
 11.50     343.050        9.000   328.852     1.070   332.579     16.833   306.091    15.637
 11.60     341.800        8.200   327.038     1.259   331.525     16.300   305.736    16.112
 11.70     342.267        8.900   323.832     2.765   330.471     15.767   305.380    16.587
 11.80     342.733        9.600   321.107     2.686   329.417     15.234   305.025    17.063
 11.90     343.200       10.300   314.057     4.304   328.363     14.701   304.669    17.538
 12.00     342.100        6.850   306.115     5.360   327.309     14.168   304.314    18.013
 12.10     341.000        3.400   301.755     6.654   326.432     14.262   304.282    18.112
 12.20     338.100        5.900   302.981     3.110   325.554     14.355   304.250    18.210
 12.30     336.100        5.700   292.779     5.875   324.677     14.449   304.218    18.308
 12.40     334.100        5.500   291.933     4.371   323.799     14.542   304.186    18.407
 12.50     332.100        5.300   291.344     3.367   322.922     14.636   304.154    18.505
 12.60     330.150        4.950   292.174     2.788   322.044     14.729   304.123    18.604
 12.70     328.200        4.600   288.095     3.607   321.167     14.822   304.091    18.702
 12.80     326.500        5.650   286.740     3.099   320.289     14.916   304.059    18.801
 12.90     324.800        6.700   289.423     1.880   319.412     15.009   304.027    18.899
 13.00     319.200       11.850   288.299     2.156   318.534     15.103   303.995    18.997
 13.10     313.600       17.000   285.386     3.037   316.004     15.131   301.772    18.258
 13.20     309.450       17.350   284.173     2.116   313.474     15.159   299.549    17.519
 13.30     305.300       17.700   282.223     1.370   310.944     15.188   297.326    16.780
 13.40     300.700       15.750   278.712     1.906   308.414     15.216   295.103    16.041
 13.50     296.100       13.800   275.834     2.511   305.883     15.244   292.879    15.301
 13.60     295.350       13.750   271.611     2.783   303.353     15.272   290.656    14.562
 13.70     294.600       13.700   266.660     3.383   300.823     15.301   288.433    13.823
 13.80     293.400       12.750   261.620     3.060   298.293     15.329   286.210    13.084
 13.90     292.200       11.800   254.676     4.242   295.763     15.357   283.987    12.344
 14.00     289.300       11.500   253.965     4.985   293.233     15.385   281.764    11.605
 14.10     286.400       11.200   252.300     4.730   291.034     14.852   278.590    11.617
 14.20     284.550       11.700   253.287     4.220   288.835     14.319   275.416    11.628
 14.30     282.700       12.200   255.119     4.621   286.637     13.786   272.243    11.640
 14.40     279.900       11.550   250.379     4.970   284.438     13.253   269.069    11.652
 14.50     277.100       10.900   248.839     3.970   282.239     12.719   265.895    11.663
 14.60     275.700       13.200   243.676     4.236   280.041     12.186   262.721    11.675
 14.70     274.300       15.500   238.731     4.329   277.842     11.653   259.547    11.687
 14.80     270.850       15.250   234.497     3.644   275.643     11.120   256.373    11.698
 14.90     267.400       15.000   230.242     3.210   273.445     10.587   253.200    11.710
 15.00     263.250       13.800   226.247     4.671   271.246     10.054   250.026    11.722
 15.10     259.100       12.600   223.612     3.887   269.591     10.508   247.419    11.530
 15.20     257.100       12.300   221.395     4.624   267.936     10.963   244.813    11.339
 15.30     255.100       12.000   220.520     5.119   266.282     11.418   242.206    11.148
 15.40     252.100       11.600   219.024     2.617   264.627     11.872   239.600    10.957
 15.50     249.100       11.200   217.804     2.498   262.972     12.327   236.993    10.766
 15.60     247.600       10.950   215.083     2.538   261.317     12.782   234.387    10.575
 15.70     246.100       10.700   211.933     5.084   259.662     13.237   231.781    10.384
 15.80     242.700       10.050   207.621     4.550   258.007     13.691   229.174    10.193
 15.90     239.300        9.400   209.621     4.963   256.353     14.146   226.568    10.002
 16.00     236.900        9.150   206.205     3.910   254.698     14.601   223.961     9.811
 16.10     234.500        8.900   205.318     3.897   252.657     14.817   222.852     9.911
 16.20     231.450        8.700   198.706     6.630   250.617     15.033   221.742    10.011
 16.30     228.400        8.500   195.215     4.570   248.576     15.250   220.633    10.112
 16.40     226.000        8.200   194.689     3.270   246.535     15.466   219.524    10.212
 16.50     225.133        7.933   193.473     3.305   244.495     15.682   218.414    10.312
 16.60     224.267        7.667   192.989     4.077   242.454     15.898   217.305    10.413
 16.70     223.400        7.400   193.247     2.899   240.413     16.115   216.195    10.513
 16.80     220.150        7.900   191.697     2.802   238.373     16.331   215.086    10.613
 16.90     216.900        8.400   186.573     3.634   236.332     16.547   213.976    10.713
 17.00     210.900       11.300   181.348     3.640   234.291     16.764   212.867    10.814
 17.10     209.700       10.967   179.990     3.633   231.876     16.200   211.990    10.713
 17.20     208.500       10.633   179.334     3.441   229.461     15.636   211.113    10.612
 17.30     207.300       10.300   179.662     4.215   227.045     15.073   210.236    10.511
 17.40     204.200       10.450   181.670     4.498   224.630     14.509   209.360    10.409
 17.50     201.100       10.600   177.530     3.732   222.215     13.945   208.483    10.308
 17.60     195.600        9.600   172.902     4.154   219.799     13.382   207.606    10.207
 17.70     194.433        8.867   169.430     4.100   217.384     12.818   206.729    10.106
 17.80     193.267        8.133   165.774     4.063   214.969     12.254   205.852    10.005
 17.90     192.100        7.400   162.444     4.098   212.553     11.691   204.975     9.904
 18.00     192.500        7.000   160.321     3.901   210.138     11.127   204.099     9.803
 18.10     192.900        6.600   163.127     2.751   207.950     11.001   202.230     9.999
 18.20     188.300        9.800   165.147     2.030   205.762     10.874   200.362    10.195
 18.30     187.300        8.533   166.459     3.913   203.575     10.747   198.493    10.391
 18.40     186.300        7.267   162.665     4.805   201.387     10.621   196.625    10.587
 18.50     185.300        6.000   161.632     4.804   199.199     10.494   194.756    10.783
 18.60     184.700        6.100   158.005     4.631   197.011     10.367   192.888    10.978
 18.70     184.100        6.200   152.704     7.068   194.823     10.241   191.019    11.174
 18.80     182.250        6.500   148.726     6.223   192.635     10.114   189.151    11.370
 18.90     180.400        6.800   145.379     6.284   190.448      9.987   187.282    11.566
 19.00     179.050        7.650   143.772     8.420   188.260      9.861   185.414    11.762
 19.10     177.700        8.500   139.995     7.947   186.288      9.851   183.311    11.624
 19.20     177.450        7.650   139.468     4.807   184.317      9.841   181.209    11.487
 19.30     177.200        6.800   140.481     4.712   182.345      9.831   179.107    11.349
 19.40     173.850        7.550   141.081     4.753   180.374      9.821   177.004    11.211
 19.50     170.500        8.300   138.289     5.843   178.402      9.811   174.902    11.074
 19.60     168.400        8.400   136.475     4.425   176.431      9.801   172.799    10.936
 19.70     166.300        8.500   133.193     4.953   174.459      9.791   170.697    10.799
 19.80     163.150        9.350   130.343     4.665   172.488      9.782   168.595    10.661
 19.90     160.000       10.200   129.181     4.764   170.516      9.772   166.492    10.523
 20.00     157.700        6.900   126.930     4.883   168.545      9.762   164.390    10.386
 20.10     156.567        7.733   123.674     4.415   166.362      9.983   162.084    10.163
 20.20     155.433        8.567   122.362     4.700   164.180     10.204   159.778     9.941
 20.30     154.300        9.400   120.121     4.457   161.997     10.426   157.472     9.719
 20.40     152.000       10.100   118.254     4.737   159.814     10.647   155.166     9.496
 20.50     149.700       10.800   118.100     4.910   157.632     10.868   152.860     9.274
 20.60     144.900       10.200   117.859     5.010   155.449     11.089   150.554     9.052
 20.70     144.200        9.367   116.137     4.633   153.267     11.311   148.248     8.830
 20.80     143.500        8.533   115.230     4.968   151.084     11.532   145.942     8.607
 20.90     142.800        7.700   113.351     4.416   148.902     11.753   143.637     8.385
 21.00     141.200        7.950   112.937     3.513   146.719     11.974   141.331     8.163
 21.10     139.600        8.200   114.680     3.672   145.051     11.588   139.419     8.160
 21.20     138.800        8.550   109.469     3.650   143.383     11.202   137.508     8.158
 21.30     138.000        8.900   109.299     3.643   141.715     10.816   135.596     8.156
